<<<<<<< HEAD
timestamp,asset,symbol,strategy_version,equity,open_trade,last_evaluated_close_time,missed_run_count
2026-07-19T21:14:20.693242+00:00,ETH,ETHUSDT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,10000.0,False,1784494800000,0
2026-07-19T22:10:44.118814+00:00,ETH,ETHUSDT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,10000.0,False,1784498400000,0
2026-07-19T23:11:13.385241+00:00,ETH,ETHUSDT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,10000.0,False,1784502000000,0
2026-07-20T00:11:48.386992+00:00,ETH,ETHUSDT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,10000.0,False,1784505600000,0
2026-07-20T04:04:33.948188+00:00,ETH,ETHUSDT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,10000.0,True,1784520000000,3
2026-07-20T07:23:39.375734+00:00,ETH,ETHUSDT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,10018.762088736014,True,1784530800000,5
2026-07-20T10:23:53.063888+00:00,ETH,ETHUSDT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,10041.474498914451,False,1784541600000,7
2026-07-20T12:29:53.097866+00:00,ETH,ETHUSDT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,10041.474498914451,False,1784548800000,8
2026-07-20T14:41:31.144159+00:00,ETH,ETHUSDT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,10041.474498914451,False,1784556000000,9
2026-07-20T16:14:53.327382+00:00,ETH,ETHUSDT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,10041.474498914451,False,1784563200000,10
=======
timestamp,asset,symbol,strategy_version,equity,open_trade,last_evaluated_close_time,missed_run_count
2026-07-20T15:49:52.726726+00:00,ETH,ETHUSDT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,10114.555369930393,False,1784548799999,2
>>>>>>> cb55a43 (Fix RMR and pair strategy lab reports)
