trade_id,candidate_id,family,asset,symbol,side,strategy_version,status,opened_at,open_close_time,entry_price,stop_loss,target,target_mode,quantity,notional,risk_dollars,entry_fee,entry_slippage_bps,planned_reward_r,entry_rsi,entry_ma20,entry_bb_lower,entry_ma200,entry_atr,event,timestamp,closed_at,exit_reason,exit_price,gross_pnl,exit_fee,fees,slippage_bps,net_pnl,r_multiple,equity_after,holding_hours
SLAB-REPAIR_MR_REGIME_LATE_V1-BTC-1784815200000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,BTC,BTCUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,OPEN,2026-07-23T14:00:00+00:00,1784815200000,64872.131832,64574.604689142856,65244.04076057143,FIXED_125R,0.15414939693822763,10000.0,45.863629644182524,10.0,2.0,1.25,23.649426714775473,65639.872,64939.0184073681,64836.03285,297.5271428571432,ENTRY,2026-07-23T15:21:17.053845+00:00,,,,,,,,,,,
SLAB-REPAIR_MR_REGIME_LATE_V1-BTC-1784815200000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,BTC,BTCUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,CLOSED,2026-07-23T14:00:00+00:00,1784815200000,64872.131832,64574.604689142856,65244.04076057143,FIXED_125R,0.15414939693822763,10000.0,45.863629644182524,10.0,2.0,1.25,23.649426714775473,65639.872,64939.0184073681,64836.03285,297.5271428571432,EXIT,2026-07-23T18:04:39.973854+00:00,2026-07-23T17:00:00+00:00,SL,64561.689768205026,-47.85445691825393,9.952145543081745,19.952145543081745,2.0,-67.80660246133567,-1.4784395170506628,9932.193397538664,3.0
SLAB-REPAIR_MR_REGIME_LATE_V1-SOL-1786464000000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,SOL,SOLUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,OPEN,2026-08-11T16:00:00+00:00,1786464000000,74.91498,74.49498,75.43998,FIXED_125R,133.48465153431263,10000.0,56.063553644411535,10.0,2.0,1.2500000000000084,29.850746268656692,75.77950000000001,75.03455772035646,74.6473,0.4200000000000007,ENTRY,2026-08-11T16:31:30.746560+00:00,,,,,,,,,,,
SLAB-REPAIR_MR_REGIME_LATE_V1-SOL-1786464000000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,SOL,SOLUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,CLOSED,2026-08-11T16:00:00+00:00,1786464000000,74.91498,74.49498,75.43998,FIXED_125R,133.48465153431263,10000.0,56.063553644411535,10.0,2.0,1.2500000000000084,29.850746268656692,75.77950000000001,75.03455772035646,74.6473,0.4200000000000007,EXIT,2026-08-11T20:21:43.678866+00:00,2026-08-11T20:00:00+00:00,TARGET,75.424892004,68.06542616710307,10.068065426167102,20.068065426167102,2.0,47.99736074093597,0.8561241237999972,10047.997360740936,4.0
SLAB-REPAIR_MR_REGIME_LATE_V1-XRP-1787760000000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,XRP,XRPUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,OPEN,2026-08-26T16:00:00+00:00,1787760000000,1.37517498,1.3535964085714285,1.4021481942857141,FIXED_125R,4634.227077126775,6372.873128103271,100.0,6.3728731281032704,2.0,1.249999999999995,24.303987960872917,1.4214,1.3729240265698326,1.3415339999999998,0.0215785714285714,ENTRY,2026-08-26T18:24:53.255770+00:00,,,,,,,,,,,
SLAB-REPAIR_MR_REGIME_LATE_V1-XRP-1787760000000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,XRP,XRPUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,CLOSED,2026-08-26T16:00:00+00:00,1787760000000,1.37517498,1.3535964085714285,1.4021481942857141,FIXED_125R,4634.227077126775,6372.873128103271,100.0,6.3728731281032704,2.0,1.249999999999995,24.303987960872917,1.4214,1.3729240265698326,1.3415339999999998,0.0215785714285714,EXIT,2026-08-26T23:23:33.709646+00:00,2026-08-26T22:00:00+00:00,TARGET,1.401867764646857,123.70042537437848,6.49657355347765,12.869446681580921,2.0,110.83097869279756,1.1083097869279757,10110.830978692798,6.0
SLAB-REPAIR_MR_REGIME_LATE_V1-BTC-1787936400000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,BTC,BTCUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,OPEN,2026-08-28T17:00:00+00:00,1787936400000,77916.820248,77300.77739085714,78686.87381942858,FIXED_125R,0.1274717495648009,9932.193397538664,78.52806080689955,9.932193397538663,2.0,1.25,24.329157780381962,79536.01,78051.42574172403,77857.78465,616.0428571428575,ENTRY,2026-08-28T18:36:40.497825+00:00,,,,,,,,,,,
SLAB-REPAIR_MR_REGIME_LATE_V1-BTC-1787936400000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,BTC,BTCUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,CLOSED,2026-08-28T17:00:00+00:00,1787936400000,77916.820248,77300.77739085714,78686.87381942858,FIXED_125R,0.1274717495648009,9932.193397538664,78.52806080689955,9.932193397538663,2.0,1.25,24.329157780381962,79536.01,78051.42574172403,77857.78465,616.0428571428575,EXIT,2026-08-29T02:47:56.080448+00:00,2026-08-28T20:00:00+00:00,SL,77285.31723537897,-80.49879387424564,9.85169460366442,19.78388800120308,2.0,-100.28268187544872,-1.277029903005548,9831.910715663214,3.0
SLAB-REPAIR_MR_REGIME_LATE_V1-XRP-1788526800000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,XRP,XRPUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,OPEN,2026-09-04T13:00:00+00:00,1788526800000,1.41388272,1.3964827199999998,1.43563272,FIXED_125R,5810.822401547558,8215.821382536993,101.10830978692799,8.215821382536992,2.0,1.250000000000003,30.17875920084127,1.44897,1.418635920155698,1.3928945,0.01740000000000002,ENTRY,2026-09-04T16:16:28.374690+00:00,,,,,,,,,,,
SLAB-REPAIR_MR_REGIME_LATE_V1-XRP-1788526800000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,XRP,XRPUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,CLOSED,2026-09-04T13:00:00+00:00,1788526800000,1.41388272,1.3964827199999998,1.43563272,FIXED_125R,5810.822401547558,8215.821382536993,101.10830978692799,8.215821382536992,2.0,1.250000000000003,30.17875920084127,1.44897,1.418635920155698,1.3928945,0.01740000000000002,EXIT,2026-09-04T16:16:28.374690+00:00,2026-09-04T14:00:00+00:00,SL,1.396203423456,-102.73125240147766,8.113090130135516,16.32891151267251,2.0,-119.06016391415017,-1.1775507291641336,9991.770814778649,1.0
SLAB-REPAIR_MR_REGIME_LATE_V1-XRP-1788534000000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,XRP,XRPUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,OPEN,2026-09-04T15:00:00+00:00,1788534000000,1.3992798,1.380722657142857,1.4224762285714285,FIXED_125R,5384.326074168609,7534.178712197436,99.91770814778648,7.534178712197435,2.0,1.249999999999994,30.505569837189512,1.4416350000000002,1.3995001557496591,1.392749,0.01855714285714286,ENTRY,2026-09-04T16:16:28.374690+00:00,,,,,,,,,,,
SLAB-REPAIR_MR_REGIME_LATE_V1-XRP-1788534000000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,XRP,XRPUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,CLOSED,2026-09-04T15:00:00+00:00,1788534000000,1.3992798,1.380722657142857,1.4224762285714285,FIXED_125R,5384.326074168609,7534.178712197436,99.91770814778648,7.534178712197435,2.0,1.249999999999994,30.505569837189512,1.4416350000000002,1.3995001557496591,1.392749,0.01855714285714286,EXIT,2026-09-05T15:06:09.475587+00:00,2026-09-05T15:00:00+00:00,TIME,1.4127174,72.35242005424837,7.606531132251685,15.14070984444912,2.0,57.21171020979925,0.5725882956120094,10048.982524988449,24.0
SLAB-REPAIR_MR_REGIME_LATE_V1-BNB-1788706800000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,BNB,BNBUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,OPEN,2026-09-06T15:00:00+00:00,1788706800000,744.89895,740.78895,750.0364500000001,FIXED_125R,13.424639677636812,10000.0,55.17526907508748,10.0,2.0,1.2500000000000069,16.92357096981368,760.247,744.453249210527,708.27115,4.109999999999998,ENTRY,2026-09-06T15:24:04.578813+00:00,,,,,,,,,,,
SLAB-REPAIR_MR_REGIME_LATE_V1-BNB-1788706800000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,BNB,BNBUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,CLOSED,2026-09-06T15:00:00+00:00,1788706800000,744.89895,740.78895,750.0364500000001,FIXED_125R,13.424639677636812,10000.0,55.17526907508748,10.0,2.0,1.2500000000000069,16.92357096981368,760.247,744.453249210527,708.27115,4.109999999999998,EXIT,2026-09-06T22:05:55.724833+00:00,2026-09-06T19:00:00+00:00,TARGET,749.8864427100001,66.95529252659146,10.06695529252659,20.06695529252659,2.0,46.88833723406488,0.8498071331606014,10046.888337234064,4.0
SLAB-REPAIR_MR_REGIME_LATE_V1-SOL-1789873200000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,SOL,SOLUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,OPEN,2026-09-20T03:00:00+00:00,1789873200000,108.881772,107.826772,110.20052199999999,FIXED_125R,92.28355836035563,10047.997360740936,97.35915407017451,10.047997360740935,2.0,1.2500000000000033,31.571815718157183,111.021,108.86578400154382,102.88385,1.0549999999999966,ENTRY,2026-09-20T04:48:56.433424+00:00,,,,,,,,,,,
SLAB-REPAIR_MR_REGIME_LATE_V1-XRP-1789873200000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,XRP,XRPUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,OPEN,2026-09-20T03:00:00+00:00,1789873200000,1.3822763999999998,1.3652978285714283,1.4034996142857143,FIXED_125R,5918.626644923754,8181.1779316892835,100.48982524988449,8.181177931689284,2.0,1.2500000000000064,24.70046082949291,1.4178549999999999,1.3823152490160673,1.3580655,0.016978571428571447,ENTRY,2026-09-20T04:48:56.433424+00:00,,,,,,,,,,,
SLAB-REPAIR_MR_REGIME_LATE_V1-DOGE-1789873200000,REPAIR_MR_REGIME_LATE_V1,Mean Reversion,DOGE,DOGEUSDT,LONG,strategy-lab-v1.0.0:REPAIR_MR_REGIME_LATE_V1,OPEN,2026-09-20T03:00:00+00:00,1789873200000,0.085777152,0.08456429485714285,0.08729322342857142,FIXED_125R,82449.94110718508,7072.321130742062,100.0,7.072321130742063,2.0,1.2499999999999971,27.191679049034065,0.088117,0.08570057205776889,0.08382079999999999,0.0012128571428571436,ENTRY,2026-09-20T04:48:56.433424+00:00,,,,,,,,,,,
