asset,total_trades,win_rate,net_pnl,expectancy_r,profit_factor,max_drawdown,average_win,average_loss,average_holding_hours,consecutive_wins,consecutive_losses,fees_paid,slippage_paid_estimate,insufficient_sample,rejected_setup_counts,candidate_id,display_label,bucket,family,title,interval,asset_filter,evidence_note,enabled,rating,rating_score
BNB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 35, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 55, ""RSI_NOT_BELOW_30"": 54, ""TARGET_NOT_ABOVE_ENTRY"": 31}",MR_DEEP_VALUE_V1,OLD_MR_DEEP,OLD_TEST,Mean Reversion,Deep value pullback,1h,ALL,,True,INSUFFICIENT_SAMPLE,20.0
BTC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 68, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 165, ""RSI_NOT_BELOW_30"": 157, ""TARGET_NOT_ABOVE_ENTRY"": 77}",MR_DEEP_VALUE_V1,OLD_MR_DEEP,OLD_TEST,Mean Reversion,Deep value pullback,1h,ALL,,True,INSUFFICIENT_SAMPLE,20.0
DOGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 128, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 169, ""RSI_NOT_BELOW_30"": 161, ""TARGET_NOT_ABOVE_ENTRY"": 67}",MR_DEEP_VALUE_V1,OLD_MR_DEEP,OLD_TEST,Mean Reversion,Deep value pullback,1h,ALL,,True,INSUFFICIENT_SAMPLE,20.0
ETH,3,0.0,-352.20805919099394,-1.188085835980879,0.0,-0.02369796633195534,0.0,-117.40268639699798,7.337666666666666,0,3,50.6945756324954,10.19921782321078,True,"{""CLOSE_NOT_ABOVE_MA200"": 24, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 170, ""OPEN_TRADE_EXISTS"": 32, ""RSI_NOT_BELOW_30"": 161, ""TARGET_NOT_ABOVE_ENTRY"": 93}",MR_DEEP_VALUE_V1,OLD_MR_DEEP,OLD_TEST,Mean Reversion,Deep value pullback,1h,ALL,,True,INSUFFICIENT_SAMPLE,2.81
NEAR,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 90, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 174, ""RSI_NOT_BELOW_30"": 178, ""TARGET_NOT_ABOVE_ENTRY"": 121}",MR_DEEP_VALUE_V1,OLD_MR_DEEP,OLD_TEST,Mean Reversion,Deep value pullback,1h,ALL,,True,INSUFFICIENT_SAMPLE,20.0
PAXG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 180, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 153, ""RSI_NOT_BELOW_30"": 123, ""TARGET_NOT_ABOVE_ENTRY"": 45}",MR_DEEP_VALUE_V1,OLD_MR_DEEP,OLD_TEST,Mean Reversion,Deep value pullback,1h,ALL,,True,INSUFFICIENT_SAMPLE,20.0
SOL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 171, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 170, ""RSI_NOT_BELOW_30"": 168, ""TARGET_NOT_ABOVE_ENTRY"": 60}",MR_DEEP_VALUE_V1,OLD_MR_DEEP,OLD_TEST,Mean Reversion,Deep value pullback,1h,ALL,,True,INSUFFICIENT_SAMPLE,20.0
XRP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 126, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 162, ""RSI_NOT_BELOW_30"": 153, ""TARGET_NOT_ABOVE_ENTRY"": 72}",MR_DEEP_VALUE_V1,OLD_MR_DEEP,OLD_TEST,Mean Reversion,Deep value pullback,1h,ALL,,True,INSUFFICIENT_SAMPLE,20.0
COMBINED,3,0.0,-352.20805919099394,-1.188085835980879,0.0,-0.02369796633195534,0.0,-117.40268639699798,7.337666666666666,0,3,50.6945756324954,10.19921782321078,True,"{""CLOSE_NOT_ABOVE_MA200"": 822, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 1218, ""OPEN_TRADE_EXISTS"": 32, ""RSI_NOT_BELOW_30"": 1155, ""TARGET_NOT_ABOVE_ENTRY"": 566}",MR_DEEP_VALUE_V1,OLD_MR_DEEP,OLD_TEST,Mean Reversion,Deep value pullback,1h,ALL,,True,INSUFFICIENT_SAMPLE,2.81
