asset,total_trades,win_rate,net_pnl,expectancy_r,profit_factor,max_drawdown,average_win,average_loss,average_holding_hours,consecutive_wins,consecutive_losses,fees_paid,slippage_paid_estimate,insufficient_sample,rejected_setup_counts,candidate_id,display_label,bucket,family,title,interval,asset_filter,evidence_note,enabled,rating,rating_score
BNB,3,0.6666666666666666,6.6470679148335705,0.1013280252595512,1.0804591076659797,-0.008188333719180823,44.63065323612169,-82.6142385574098,1.6666666666666667,2,1,60.32854252075892,12.052313382064668,True,"{""CLOSE_NOT_ABOVE_BREAKOUT_HIGH"": 111, ""CLOSE_NOT_ABOVE_MA200"": 57, ""OPEN_TRADE_EXISTS"": 2, ""RSI_NOT_MOMENTUM_SUPPORTIVE"": 74}",BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,OLD_TEST,Momentum,20-bar breakout momentum,1h,ALL,,True,INSUFFICIENT_SAMPLE,34.51
BTC,3,1.0,142.4460591883784,0.686053406253107,142.4460591883784,0.0,47.482019729459466,0.0,165012.47866666666,3,0,60.36664461575355,12.032766382389884,True,"{""CLOSE_NOT_ABOVE_BREAKOUT_HIGH"": 199, ""CLOSE_NOT_ABOVE_MA200"": 85, ""OPEN_TRADE_EXISTS"": 25, ""RSI_NOT_MOMENTUM_SUPPORTIVE"": 126}",BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,OLD_TEST,Momentum,20-bar breakout momentum,1h,ALL,,True,INSUFFICIENT_SAMPLE,63.29
DOGE,3,0.6666666666666666,46.885476118242366,0.20131831571591663,1.4967204958553986,0.0,70.6377667618338,-94.39005740542524,165005.145,2,1,59.864808339361495,11.951611610980779,True,"{""CLOSE_NOT_ABOVE_BREAKOUT_HIGH"": 197, ""CLOSE_NOT_ABOVE_MA200"": 151, ""OPEN_TRADE_EXISTS"": 1, ""RSI_NOT_MOMENTUM_SUPPORTIVE"": 131}",BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,OLD_TEST,Momentum,20-bar breakout momentum,1h,ALL,,True,INSUFFICIENT_SAMPLE,40.99
ETH,6,0.6666666666666666,116.66522996165669,0.2551328032240008,1.4896791034762455,-0.012127105096809252,88.72839066562369,-119.12416635041905,82503.23966671297,2,1,120.90331138537618,24.13314856880583,True,"{""CLOSE_NOT_ABOVE_BREAKOUT_HIGH"": 196, ""CLOSE_NOT_ABOVE_MA200"": 27, ""OPEN_TRADE_EXISTS"": 6, ""RSI_NOT_MOMENTUM_SUPPORTIVE"": 107}",BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,OLD_TEST,Momentum,20-bar breakout momentum,1h,ALL,,True,INSUFFICIENT_SAMPLE,43.51
NEAR,6,0.16666666666666666,-447.4757685439185,-0.7565221889473589,0.19684040919618612,-0.033873483537013784,109.6685072233399,-111.42885515345168,82506.24083333333,1,3,70.2498047417513,14.125406141110695,True,"{""CLOSE_NOT_ABOVE_BREAKOUT_HIGH"": 193, ""CLOSE_NOT_ABOVE_MA200"": 103, ""OPEN_TRADE_EXISTS"": 31, ""RSI_NOT_MOMENTUM_SUPPORTIVE"": 87}",BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,OLD_TEST,Momentum,20-bar breakout momentum,1h,ALL,,True,INSUFFICIENT_SAMPLE,13.23
PAXG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_BREAKOUT_HIGH"": 200, ""CLOSE_NOT_ABOVE_MA200"": 203, ""RSI_NOT_MOMENTUM_SUPPORTIVE"": 142}",BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,OLD_TEST,Momentum,20-bar breakout momentum,1h,ALL,,True,INSUFFICIENT_SAMPLE,20.0
SOL,1,0.0,-100.98789404155208,-1.276957387906113,0.0,0.0,0.0,-100.98789404155208,3.0,0,1,19.91893103699545,4.0,True,"{""CLOSE_NOT_ABOVE_BREAKOUT_HIGH"": 198, ""CLOSE_NOT_ABOVE_MA200"": 194, ""OPEN_TRADE_EXISTS"": 2, ""RSI_NOT_MOMENTUM_SUPPORTIVE"": 134}",BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,OLD_TEST,Momentum,20-bar breakout momentum,1h,ALL,,True,INSUFFICIENT_SAMPLE,1.85
XRP,2,0.0,-194.59001481015324,-1.2933317768040506,0.0,-0.008834486471475497,0.0,-97.29500740507662,5.000000138888889,0,2,39.630656366386745,7.957123144966104,True,"{""CLOSE_NOT_ABOVE_BREAKOUT_HIGH"": 196, ""CLOSE_NOT_ABOVE_MA200"": 148, ""OPEN_TRADE_EXISTS"": 9, ""RSI_NOT_MOMENTUM_SUPPORTIVE"": 132}",BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,OLD_TEST,Momentum,20-bar breakout momentum,1h,ALL,,True,INSUFFICIENT_SAMPLE,1.72
COMBINED,24,0.5,-430.4098442125128,-0.16274408392369327,0.6605533172238394,-0.06636456831964557,69.79708075584368,-105.66456777355307,82505.32308335647,4,3,431.2626990063836,86.25236923031795,False,"{""CLOSE_NOT_ABOVE_BREAKOUT_HIGH"": 1490, ""CLOSE_NOT_ABOVE_MA200"": 968, ""OPEN_TRADE_EXISTS"": 76, ""RSI_NOT_MOMENTUM_SUPPORTIVE"": 933}",BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,OLD_TEST,Momentum,20-bar breakout momentum,1h,ALL,,True,WATCHLIST,47.53
