asset,total_trades,win_rate,net_pnl,expectancy_r,profit_factor,max_drawdown,average_win,average_loss,average_holding_hours,consecutive_wins,consecutive_losses,fees_paid,slippage_paid_estimate,insufficient_sample,rejected_setup_counts,candidate_id,display_label,bucket,family,title,interval,asset_filter,asset_exclude,evidence_note,enabled,rating,rating_score
BNB,1,1.0,46.88833723406488,0.8498071331606014,46.88833723406488,0.0,46.88833723406488,0.0,4.0,1,0,20.06695529252659,4.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 415, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 1166, ""OPEN_TRADE_EXISTS"": 3, ""RSI_NOT_BELOW_32"": 1099, ""RSI_RECOVERY_NOT_CONFIRMED"": 800, ""TREND_SUPPORT_NOT_CONFIRMED"": 406}",REPAIR_MR_REGIME_LATE_V1,FIX_MR_LATE,LOSS_REPAIR_TEST,Mean Reversion,Regime MR repair with late confirmation,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_REGIME entered weak falling candles too early. Repair requires RSI/close recovery, trend support, reward quality, and rejects known weak-loss assets.",True,INSUFFICIENT_SAMPLE,63.75
BTC,2,0.0,-168.08928433678437,-1.3777347100281054,0.0,-0.010096730687936536,0.0,-84.04464216839219,3.0,0,2,39.73603354428482,7.972877359015465,True,"{""CLOSE_NOT_ABOVE_MA200"": 633, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 1149, ""OPEN_TRADE_EXISTS"": 4, ""RSI_NOT_BELOW_32"": 1090, ""RSI_RECOVERY_NOT_CONFIRMED"": 778, ""TREND_SUPPORT_NOT_CONFIRMED"": 625}",REPAIR_MR_REGIME_LATE_V1,FIX_MR_LATE,LOSS_REPAIR_TEST,Mean Reversion,Regime MR repair with late confirmation,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_REGIME entered weak falling candles too early. Repair requires RSI/close recovery, trend support, reward quality, and rejects known weak-loss assets.",True,INSUFFICIENT_SAMPLE,0.99
DOGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 688, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 1151, ""RSI_NOT_BELOW_32"": 1075, ""RSI_RECOVERY_NOT_CONFIRMED"": 779, ""TREND_SUPPORT_NOT_CONFIRMED"": 694, ""VOLATILITY_SHOCK"": 2}",REPAIR_MR_REGIME_LATE_V1,FIX_MR_LATE,LOSS_REPAIR_TEST,Mean Reversion,Regime MR repair with late confirmation,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_REGIME entered weak falling candles too early. Repair requires RSI/close recovery, trend support, reward quality, and rejects known weak-loss assets.",True,INSUFFICIENT_SAMPLE,20.0
PAXG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 505, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 1158, ""RSI_NOT_BELOW_32"": 1090, ""RSI_RECOVERY_NOT_CONFIRMED"": 804, ""TREND_SUPPORT_NOT_CONFIRMED"": 508}",REPAIR_MR_REGIME_LATE_V1,FIX_MR_LATE,LOSS_REPAIR_TEST,Mean Reversion,Regime MR repair with late confirmation,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_REGIME entered weak falling candles too early. Repair requires RSI/close recovery, trend support, reward quality, and rejects known weak-loss assets.",True,INSUFFICIENT_SAMPLE,20.0
SOL,1,1.0,47.99736074093597,0.8561241237999972,47.99736074093597,0.0,47.99736074093597,0.0,4.0,1,0,20.068065426167102,4.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 518, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 1158, ""OPEN_TRADE_EXISTS"": 3, ""RSI_NOT_BELOW_32"": 1091, ""RSI_RECOVERY_NOT_CONFIRMED"": 767, ""TREND_SUPPORT_NOT_CONFIRMED"": 514}",REPAIR_MR_REGIME_LATE_V1,FIX_MR_LATE,LOSS_REPAIR_TEST,Mean Reversion,Regime MR repair with late confirmation,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_REGIME entered weak falling candles too early. Repair requires RSI/close recovery, trend support, reward quality, and rejects known weak-loss assets.",True,INSUFFICIENT_SAMPLE,63.84
XRP,3,0.6666666666666666,48.98252498844664,0.1677824511252838,1.4114098568163076,-0.011775507291641282,84.0213444512984,-119.06016391415017,10.333333333333334,1,1,44.33906803870255,8.84914928913508,True,"{""CLOSE_NOT_ABOVE_MA200"": 795, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 1135, ""OPEN_TRADE_EXISTS"": 28, ""RSI_NOT_BELOW_32"": 1027, ""RSI_RECOVERY_NOT_CONFIRMED"": 785, ""TREND_SUPPORT_NOT_CONFIRMED"": 767, ""VOLATILITY_SHOCK"": 14}",REPAIR_MR_REGIME_LATE_V1,FIX_MR_LATE,LOSS_REPAIR_TEST,Mean Reversion,Regime MR repair with late confirmation,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_REGIME entered weak falling candles too early. Repair requires RSI/close recovery, trend support, reward quality, and rejects known weak-loss assets.",True,INSUFFICIENT_SAMPLE,38.45
COMBINED,7,0.5714285714285714,-24.22106137333691,-0.07802725853139439,0.9156499811478984,-0.027586284808575137,65.73209671939941,-95.71648275031151,6.428571428571429,2,2,124.21012230168107,24.822026648150544,True,"{""CLOSE_NOT_ABOVE_MA200"": 3554, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 6917, ""OPEN_TRADE_EXISTS"": 38, ""RSI_NOT_BELOW_32"": 6472, ""RSI_RECOVERY_NOT_CONFIRMED"": 4713, ""TREND_SUPPORT_NOT_CONFIRMED"": 3514, ""VOLATILITY_SHOCK"": 16}",REPAIR_MR_REGIME_LATE_V1,FIX_MR_LATE,LOSS_REPAIR_TEST,Mean Reversion,Regime MR repair with late confirmation,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_REGIME entered weak falling candles too early. Repair requires RSI/close recovery, trend support, reward quality, and rejects known weak-loss assets.",True,INSUFFICIENT_SAMPLE,32.23
