asset,total_trades,win_rate,net_pnl,expectancy_r,profit_factor,max_drawdown,average_win,average_loss,average_holding_hours,consecutive_wins,consecutive_losses,fees_paid,slippage_paid_estimate,insufficient_sample,rejected_setup_counts,candidate_id,display_label,bucket,family,title,interval,asset_filter,asset_exclude,evidence_note,enabled,rating,rating_score
BNB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 114, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 159, ""RSI_NOT_BELOW_35"": 151, ""RSI_RECOVERY_NOT_CONFIRMED"": 107}",REPAIR_MR_1R_ASYMMETRIC_V1,FIX_MR_1R_ASYM,LOSS_REPAIR_TEST,Exit Logic,1R repair with asymmetric reward,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_1R could not overcome fees and outsized SLs. Repair uses 1.5R target, 1.0 ATR stop, and recovery confirmation.",True,INSUFFICIENT_SAMPLE,20.0
BTC,1,0.0,-67.80660246133567,-1.4784395170506628,0.0,0.0,0.0,-67.80660246133567,3.0,0,1,19.952145543081745,4.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 65, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 157, ""OPEN_TRADE_EXISTS"": 2, ""RSI_NOT_BELOW_35"": 140, ""RSI_RECOVERY_NOT_CONFIRMED"": 105}",REPAIR_MR_1R_ASYMMETRIC_V1,FIX_MR_1R_ASYM,LOSS_REPAIR_TEST,Exit Logic,1R repair with asymmetric reward,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_1R could not overcome fees and outsized SLs. Repair uses 1.5R target, 1.0 ATR stop, and recovery confirmation.",True,INSUFFICIENT_SAMPLE,1.0
DOGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 106, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 159, ""RSI_NOT_BELOW_35"": 144, ""RSI_RECOVERY_NOT_CONFIRMED"": 109}",REPAIR_MR_1R_ASYMMETRIC_V1,FIX_MR_1R_ASYM,LOSS_REPAIR_TEST,Exit Logic,1R repair with asymmetric reward,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_1R could not overcome fees and outsized SLs. Repair uses 1.5R target, 1.0 ATR stop, and recovery confirmation.",True,INSUFFICIENT_SAMPLE,20.0
PAXG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 33, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 165, ""RSI_NOT_BELOW_35"": 143, ""RSI_RECOVERY_NOT_CONFIRMED"": 107}",REPAIR_MR_1R_ASYMMETRIC_V1,FIX_MR_1R_ASYM,LOSS_REPAIR_TEST,Exit Logic,1R repair with asymmetric reward,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_1R could not overcome fees and outsized SLs. Repair uses 1.5R target, 1.0 ATR stop, and recovery confirmation.",True,INSUFFICIENT_SAMPLE,20.0
SOL,1,0.0,-78.47845881657148,-1.3878127409737924,0.0,0.0,0.0,-78.47845881657148,1.0,0,1,19.94146300418761,4.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 85, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 156, ""RSI_NOT_BELOW_35"": 135, ""RSI_RECOVERY_NOT_CONFIRMED"": 109}",REPAIR_MR_1R_ASYMMETRIC_V1,FIX_MR_1R_ASYM,LOSS_REPAIR_TEST,Exit Logic,1R repair with asymmetric reward,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_1R could not overcome fees and outsized SLs. Repair uses 1.5R target, 1.0 ATR stop, and recovery confirmation.",True,INSUFFICIENT_SAMPLE,1.0
XRP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 86, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 160, ""RSI_NOT_BELOW_35"": 135, ""RSI_RECOVERY_NOT_CONFIRMED"": 110}",REPAIR_MR_1R_ASYMMETRIC_V1,FIX_MR_1R_ASYM,LOSS_REPAIR_TEST,Exit Logic,1R repair with asymmetric reward,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_1R could not overcome fees and outsized SLs. Repair uses 1.5R target, 1.0 ATR stop, and recovery confirmation.",True,INSUFFICIENT_SAMPLE,20.0
COMBINED,2,0.0,-146.28506127790715,-1.4331261290122277,0.0,0.0,0.0,-73.14253063895357,2.0,0,2,39.89360854726935,8.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 489, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 956, ""OPEN_TRADE_EXISTS"": 2, ""RSI_NOT_BELOW_35"": 848, ""RSI_RECOVERY_NOT_CONFIRMED"": 647}",REPAIR_MR_1R_ASYMMETRIC_V1,FIX_MR_1R_ASYM,LOSS_REPAIR_TEST,Exit Logic,1R repair with asymmetric reward,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Loss autopsy: OLD_MR_1R could not overcome fees and outsized SLs. Repair uses 1.5R target, 1.0 ATR stop, and recovery confirmation.",True,INSUFFICIENT_SAMPLE,2.0
