asset,total_trades,win_rate,net_pnl,expectancy_r,profit_factor,max_drawdown,average_win,average_loss,average_holding_hours,consecutive_wins,consecutive_losses,fees_paid,slippage_paid_estimate,insufficient_sample,rejected_setup_counts,candidate_id,display_label,bucket,family,title,interval,asset_filter,asset_exclude,evidence_note,enabled,rating,rating_score
BNB,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 81, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 92, ""PLANNED_REWARD_TOO_LOW"": 39, ""RSI_NOT_BELOW_32"": 97, ""RSI_RECOVERY_NOT_CONFIRMED"": 62, ""TREND_SUPPORT_NOT_CONFIRMED"": 90}",SIE_OLD_MR_REGIME_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_REGIME_CONFIRM,SIE_REPAIR_TEST,Mean Reversion,SIE regime MR exhaustion confirmation repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Strategy Intelligence Engine: OLD_MR_REGIME had regime filter but weak timing. Require trend support, recovery, and reward quality.",True,INSUFFICIENT_SAMPLE,20.0
BTC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 89, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 96, ""PLANNED_REWARD_TOO_LOW"": 38, ""RSI_NOT_BELOW_32"": 85, ""RSI_RECOVERY_NOT_CONFIRMED"": 63, ""TREND_SUPPORT_NOT_CONFIRMED"": 85}",SIE_OLD_MR_REGIME_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_REGIME_CONFIRM,SIE_REPAIR_TEST,Mean Reversion,SIE regime MR exhaustion confirmation repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Strategy Intelligence Engine: OLD_MR_REGIME had regime filter but weak timing. Require trend support, recovery, and reward quality.",True,INSUFFICIENT_SAMPLE,20.0
DOGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 99, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 86, ""PLANNED_REWARD_TOO_LOW"": 35, ""RSI_NOT_BELOW_32"": 79, ""RSI_RECOVERY_NOT_CONFIRMED"": 62, ""TREND_SUPPORT_NOT_CONFIRMED"": 99}",SIE_OLD_MR_REGIME_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_REGIME_CONFIRM,SIE_REPAIR_TEST,Mean Reversion,SIE regime MR exhaustion confirmation repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Strategy Intelligence Engine: OLD_MR_REGIME had regime filter but weak timing. Require trend support, recovery, and reward quality.",True,INSUFFICIENT_SAMPLE,20.0
PAXG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 85, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 86, ""PLANNED_REWARD_TOO_LOW"": 38, ""RSI_NOT_BELOW_32"": 92, ""RSI_RECOVERY_NOT_CONFIRMED"": 59, ""TREND_SUPPORT_NOT_CONFIRMED"": 99}",SIE_OLD_MR_REGIME_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_REGIME_CONFIRM,SIE_REPAIR_TEST,Mean Reversion,SIE regime MR exhaustion confirmation repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Strategy Intelligence Engine: OLD_MR_REGIME had regime filter but weak timing. Require trend support, recovery, and reward quality.",True,INSUFFICIENT_SAMPLE,20.0
SOL,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 82, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 94, ""PLANNED_REWARD_TOO_LOW"": 31, ""RSI_NOT_BELOW_32"": 79, ""RSI_RECOVERY_NOT_CONFIRMED"": 61, ""TREND_SUPPORT_NOT_CONFIRMED"": 89}",SIE_OLD_MR_REGIME_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_REGIME_CONFIRM,SIE_REPAIR_TEST,Mean Reversion,SIE regime MR exhaustion confirmation repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Strategy Intelligence Engine: OLD_MR_REGIME had regime filter but weak timing. Require trend support, recovery, and reward quality.",True,INSUFFICIENT_SAMPLE,20.0
XRP,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 65, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 92, ""PLANNED_REWARD_TOO_LOW"": 39, ""RSI_NOT_BELOW_32"": 78, ""RSI_RECOVERY_NOT_CONFIRMED"": 63, ""TREND_SUPPORT_NOT_CONFIRMED"": 72}",SIE_OLD_MR_REGIME_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_REGIME_CONFIRM,SIE_REPAIR_TEST,Mean Reversion,SIE regime MR exhaustion confirmation repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Strategy Intelligence Engine: OLD_MR_REGIME had regime filter but weak timing. Require trend support, recovery, and reward quality.",True,INSUFFICIENT_SAMPLE,20.0
COMBINED,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 501, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 546, ""PLANNED_REWARD_TOO_LOW"": 220, ""RSI_NOT_BELOW_32"": 510, ""RSI_RECOVERY_NOT_CONFIRMED"": 370, ""TREND_SUPPORT_NOT_CONFIRMED"": 534}",SIE_OLD_MR_REGIME_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_REGIME_CONFIRM,SIE_REPAIR_TEST,Mean Reversion,SIE regime MR exhaustion confirmation repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,"Strategy Intelligence Engine: OLD_MR_REGIME had regime filter but weak timing. Require trend support, recovery, and reward quality.",True,INSUFFICIENT_SAMPLE,20.0
