asset,total_trades,win_rate,net_pnl,expectancy_r,profit_factor,max_drawdown,average_win,average_loss,average_holding_hours,consecutive_wins,consecutive_losses,fees_paid,slippage_paid_estimate,insufficient_sample,rejected_setup_counts,candidate_id,display_label,bucket,family,title,interval,asset_filter,asset_exclude,evidence_note,enabled,rating,rating_score
BRENT_FUT,4,0.5,-10.755388866440285,-0.11481400470206893,0.9491917897731033,-0.02075164003050168,100.46532599998753,-105.84302043320767,8.0,2,2,77.7444949277257,15.535501164332883,True,"{""CLOSE_NOT_ABOVE_MA200"": 385, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 973, ""OPEN_TRADE_EXISTS"": 26, ""RSI_NOT_BELOW_38"": 812, ""RSI_RECOVERY_NOT_CONFIRMED"": 657, ""TREND_SUPPORT_NOT_CONFIRMED"": 395}",HYP_OIL_MR_V1,HYP_OIL_MR,HYPOTHESIS_TEST,Mean Reversion,Oil futures recovery mean reversion,1h,"OIL_FUT,BRENT_FUT",AUTO_QUARANTINE,Asset Failure Correction: test whether 1h oil pullbacks work better after RSI recovery and a minimum reward gate.,True,INSUFFICIENT_SAMPLE,29.69
OIL_FUT,4,0.5,-9.092776099805718,-0.06401088127091914,0.9584221236275413,-0.021640201045293718,104.79993856802923,-109.3463266179321,8.0,1,2,65.10979641804354,13.010755879545059,True,"{""CLOSE_NOT_ABOVE_MA200"": 364, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 975, ""OPEN_TRADE_EXISTS"": 26, ""RSI_NOT_BELOW_38"": 821, ""RSI_RECOVERY_NOT_CONFIRMED"": 652, ""TREND_SUPPORT_NOT_CONFIRMED"": 373}",HYP_OIL_MR_V1,HYP_OIL_MR,HYPOTHESIS_TEST,Mean Reversion,Oil futures recovery mean reversion,1h,"OIL_FUT,BRENT_FUT",AUTO_QUARANTINE,Asset Failure Correction: test whether 1h oil pullbacks work better after RSI recovery and a minimum reward gate.,True,INSUFFICIENT_SAMPLE,30.46
COMBINED,8,0.5,-19.848164966245974,-0.08941244298649403,0.9538820921243628,-0.030759157674088558,102.63263228400838,-107.59467352556987,8.0,2,3,142.85429134576924,28.546257043877944,True,"{""CLOSE_NOT_ABOVE_MA200"": 749, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 1948, ""OPEN_TRADE_EXISTS"": 52, ""RSI_NOT_BELOW_38"": 1633, ""RSI_RECOVERY_NOT_CONFIRMED"": 1309, ""TREND_SUPPORT_NOT_CONFIRMED"": 768}",HYP_OIL_MR_V1,HYP_OIL_MR,HYPOTHESIS_TEST,Mean Reversion,Oil futures recovery mean reversion,1h,"OIL_FUT,BRENT_FUT",AUTO_QUARANTINE,Asset Failure Correction: test whether 1h oil pullbacks work better after RSI recovery and a minimum reward gate.,True,INSUFFICIENT_SAMPLE,33.12
