asset,total_trades,win_rate,net_pnl,expectancy_r,profit_factor,max_drawdown,average_win,average_loss,average_holding_hours,consecutive_wins,consecutive_losses,fees_paid,slippage_paid_estimate,insufficient_sample,rejected_setup_counts,candidate_id,display_label,bucket,family,title,interval,asset_filter,asset_exclude,evidence_note,enabled,rating,rating_score
BNB,1,1.0,74.71714166316413,1.1574324571095542,74.71714166316413,0.0,74.71714166316413,0.0,13.0,1,0,20.094811953616784,4.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 81, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 270, ""OPEN_TRADE_EXISTS"": 12, ""PLANNED_REWARD_TOO_LOW"": 66, ""RSI_NOT_BELOW_34"": 247, ""RSI_RECOVERY_NOT_CONFIRMED"": 181}",SIE_OLD_MR_1R_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_1R_CONFIRM,SIE_REPAIR_TEST,Exit Logic,SIE 1R MR asymmetric repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,Strategy Intelligence Engine: OLD_MR_1R did not pay enough after losses. Test recovery confirmation with 1.5R target.,True,INSUFFICIENT_SAMPLE,68.36
BTC,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 94, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 270, ""PLANNED_REWARD_TOO_LOW"": 82, ""RSI_NOT_BELOW_34"": 237, ""RSI_RECOVERY_NOT_CONFIRMED"": 176}",SIE_OLD_MR_1R_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_1R_CONFIRM,SIE_REPAIR_TEST,Exit Logic,SIE 1R MR asymmetric repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,Strategy Intelligence Engine: OLD_MR_1R did not pay enough after losses. Test recovery confirmation with 1.5R target.,True,INSUFFICIENT_SAMPLE,20.0
DOGE,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 104, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 268, ""PLANNED_REWARD_TOO_LOW"": 91, ""RSI_NOT_BELOW_34"": 231, ""RSI_RECOVERY_NOT_CONFIRMED"": 171}",SIE_OLD_MR_1R_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_1R_CONFIRM,SIE_REPAIR_TEST,Exit Logic,SIE 1R MR asymmetric repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,Strategy Intelligence Engine: OLD_MR_1R did not pay enough after losses. Test recovery confirmation with 1.5R target.,True,INSUFFICIENT_SAMPLE,20.0
PAXG,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,True,"{""CLOSE_NOT_ABOVE_MA200"": 153, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 258, ""PLANNED_REWARD_TOO_LOW"": 70, ""RSI_NOT_BELOW_34"": 239, ""RSI_RECOVERY_NOT_CONFIRMED"": 169}",SIE_OLD_MR_1R_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_1R_CONFIRM,SIE_REPAIR_TEST,Exit Logic,SIE 1R MR asymmetric repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,Strategy Intelligence Engine: OLD_MR_1R did not pay enough after losses. Test recovery confirmation with 1.5R target.,True,INSUFFICIENT_SAMPLE,20.0
SOL,2,0.0,-234.44387569472445,-1.1982078589573317,0.0,-0.011705841226107754,0.0,-117.22193784736223,11.0,0,2,35.233423854434314,7.086526861254921,True,"{""CLOSE_NOT_ABOVE_MA200"": 82, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 268, ""OPEN_TRADE_EXISTS"": 20, ""PLANNED_REWARD_TOO_LOW"": 60, ""RSI_NOT_BELOW_34"": 227, ""RSI_RECOVERY_NOT_CONFIRMED"": 177}",SIE_OLD_MR_1R_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_1R_CONFIRM,SIE_REPAIR_TEST,Exit Logic,SIE 1R MR asymmetric repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,Strategy Intelligence Engine: OLD_MR_1R did not pay enough after losses. Test recovery confirmation with 1.5R target.,True,INSUFFICIENT_SAMPLE,2.86
XRP,1,1.0,131.9107987227266,1.3191079872272662,131.9107987227266,0.0,131.9107987227266,0.0,13.0,1,0,16.43094131934363,3.256519915860312,True,"{""CLOSE_NOT_ABOVE_MA200"": 80, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 267, ""OPEN_TRADE_EXISTS"": 12, ""PLANNED_REWARD_TOO_LOW"": 77, ""RSI_NOT_BELOW_34"": 231, ""RSI_RECOVERY_NOT_CONFIRMED"": 163}",SIE_OLD_MR_1R_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_1R_CONFIRM,SIE_REPAIR_TEST,Exit Logic,SIE 1R MR asymmetric repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,Strategy Intelligence Engine: OLD_MR_1R did not pay enough after losses. Test recovery confirmation with 1.5R target.,True,INSUFFICIENT_SAMPLE,70.79
COMBINED,4,0.5,-27.8159353088337,0.02003118160553924,0.8813535426062756,-0.03615849780908407,103.31397019294536,-117.22193784736223,12.0,2,1,71.75917712739472,14.343046777115234,True,"{""CLOSE_NOT_ABOVE_MA200"": 594, ""CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB"": 1601, ""OPEN_TRADE_EXISTS"": 44, ""PLANNED_REWARD_TOO_LOW"": 446, ""RSI_NOT_BELOW_34"": 1412, ""RSI_RECOVERY_NOT_CONFIRMED"": 1037}",SIE_OLD_MR_1R_EXHAUSTION_CONFIRM_V1,SIE_OLD_MR_1R_CONFIRM,SIE_REPAIR_TEST,Exit Logic,SIE 1R MR asymmetric repair,4h,"BTC,SOL,XRP,DOGE,BNB,PAXG",AUTO_QUARANTINE,Strategy Intelligence Engine: OLD_MR_1R did not pay enough after losses. Test recovery confirmation with 1.5R target.,True,INSUFFICIENT_SAMPLE,29.5
