candidate_id,display_label,asset,report_exists,evaluations_exists,runtime_errors,total_trades,net_pnl,rating,quality_status,trusted_for_promotion,primary_reason
BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,USDJPY,True,True,152,5,-100.5,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
BREAKOUT_MOMENTUM_V1,OLD_BREAKOUT,XRP,True,True,152,6,126.21,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,AUDUSD,True,True,145,1,-37.61,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,BNB,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,BRENT_FUT,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,BTC,True,True,145,2,-69.46,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,COIN,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,COPPER_FUT,True,True,145,1,-95.72,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,DOGE,True,True,145,0,0.0,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,DXY,True,True,145,2,-26.58,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,ETH,True,True,145,4,-467.66,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,EURUSD,True,True,145,1,-34.04,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
MR_DEEP_VALUE_V1,OLD_MR_DEEP,GBPUSD,True,True,145,3,-101.14,INSUFFICIENT_SAMPLE,CHECK,False,Runtime errors exist for this candidate.
