asset,total_trades,win_rate,net_pnl,expectancy_r,profit_factor,max_drawdown,average_win,average_loss,average_holding_hours,consecutive_wins,consecutive_losses,fees_paid,slippage_paid_estimate,insufficient_sample,rejected_setup_counts,candidate_id,display_label,bucket,family,title,interval,asset_filter,asset_exclude,evidence_note,enabled,rating,rating_score
<<<<<<< HEAD
BTC,2,1.0,76.14445847055822,0.38015448714374855,76.14445847055822,0.0,38.07222923527911,0.0,276.0,2,0,5.280288404987483,1.0397727316223875,True,"{""ADX_NOT_RANGE"": 177, ""CLOSE_NOT_OUTSIDE_BAND"": 210, ""OPEN_TRADE_EXISTS"": 21, ""SHORT_DISABLED"": 221}",RMR_LONG_ONLY_BTC_1D,RMR_LONG_BTC_1D,RANGE_MR_WATCHLIST,Range Mean Reversion,BTC daily range MR long-only,1d,BTC,AUTO_QUARANTINE,Range MR hypothesis split: BTC daily long-only is promising but sample-limited.,True,INSUFFICIENT_SAMPLE,57.7
COMBINED,2,1.0,76.14445847055822,0.38015448714374855,76.14445847055822,0.0,38.07222923527911,0.0,276.0,2,0,5.280288404987483,1.0397727316223875,True,"{""ADX_NOT_RANGE"": 177, ""CLOSE_NOT_OUTSIDE_BAND"": 210, ""OPEN_TRADE_EXISTS"": 21, ""SHORT_DISABLED"": 221}",RMR_LONG_ONLY_BTC_1D,RMR_LONG_BTC_1D,RANGE_MR_WATCHLIST,Range Mean Reversion,BTC daily range MR long-only,1d,BTC,AUTO_QUARANTINE,Range MR hypothesis split: BTC daily long-only is promising but sample-limited.,True,INSUFFICIENT_SAMPLE,57.7
=======
BTC,2,1.0,76.61972302926203,0.38251791209630126,76.61972302926203,0.0,38.30986151463102,0.0,276.0,2,0,5.310883825713306,1.045790643771666,True,"{""ADX_NOT_RANGE"": 178, ""CLOSE_NOT_OUTSIDE_BAND"": 209, ""OPEN_TRADE_EXISTS"": 21, ""SHORT_DISABLED"": 220}",RMR_LONG_ONLY_BTC_1D,RMR_LONG_BTC_1D,RANGE_MR_WATCHLIST,Range Mean Reversion,BTC daily range MR long-only,1d,BTC,AUTO_QUARANTINE,Range MR hypothesis split: BTC daily long-only is promising but sample-limited.,True,INSUFFICIENT_SAMPLE,57.74
COMBINED,2,1.0,76.61972302926203,0.38251791209630126,76.61972302926203,0.0,38.30986151463102,0.0,276.0,2,0,5.310883825713306,1.045790643771666,True,"{""ADX_NOT_RANGE"": 178, ""CLOSE_NOT_OUTSIDE_BAND"": 209, ""OPEN_TRADE_EXISTS"": 21, ""SHORT_DISABLED"": 220}",RMR_LONG_ONLY_BTC_1D,RMR_LONG_BTC_1D,RANGE_MR_WATCHLIST,Range Mean Reversion,BTC daily range MR long-only,1d,BTC,AUTO_QUARANTINE,Range MR hypothesis split: BTC daily long-only is promising but sample-limited.,True,INSUFFICIENT_SAMPLE,57.74
>>>>>>> cb55a43 (Fix RMR and pair strategy lab reports)
