asset,cycle_asset,symbol,source,status,unavailable_reason,missing_data_fields,latest_close,sma_200,mayer_multiple,distance_from_sma200_pct,mm_percentile_rank,mm_percentile_label,sma200_slope_value_30d,sma200_slope_pct_30d,sma200_slope_label,historical_high_available,drawdown_from_high_pct,drawdown_label,total_daily_closes,computable_history_days,history_days_used,first_daily_close,latest_daily_close,data_method,utc_boundary,consumer,paxg_caveat
BTC,BTC,BTCUSDT,Coinbase BTC-USD daily candles,OK,,,78537.92,69920.73305000001,1.1232422283650527,12.32422283650527,86.13861386138613,MM_HIGH,-81.91085000000021,-0.11701108049149013,SMA200_FLAT,96955.16,-18.99562643184747,SHALLOW_DRAWDOWN,300,101,300,2025-11-14,2026-09-09,true daily close,UTC midnight from exchange/provider daily candle timestamps,dashboard Cycle Intelligence tab; reports/cycle_intelligence_report.*,
ETH,ETH,ETHUSDT,Coinbase ETH-USD daily candles,OK,,,2487.47,2046.83875,1.2152740414944754,21.52740414944753,88.11881188118812,MM_HIGH,2.069650000000138,0.10121680731580587,SMA200_FLAT,3354.82,-25.85384610798792,SHALLOW_DRAWDOWN,300,101,300,2025-11-14,2026-09-09,true daily close,UTC midnight from exchange/provider daily candle timestamps,dashboard Cycle Intelligence tab; reports/cycle_intelligence_report.*,
SOL,SOL,SOLUSDT,Coinbase SOL-USD daily candles,OK,,,103.52,82.73414999999999,1.2512366417011598,25.123664170115983,91.0891089108911,MM_EXTREME,-0.5273000000000252,-0.6333062900057892,SMA200_FLAT,146.7,-29.434219495569184,SHALLOW_DRAWDOWN,300,101,300,2025-11-14,2026-09-09,true daily close,UTC midnight from exchange/provider daily candle timestamps,dashboard Cycle Intelligence tab; reports/cycle_intelligence_report.*,
PAXG,PAXG,PAXGUSDT,Coinbase PAXG-USD daily candles,OK,,,4351.3,4500.140350000001,0.9669253982267463,-3.3074601773253667,79.20792079207921,MM_HIGH,-82.73184999999921,-1.8052401723093918,SMA200_FALLING,5534.2,-21.37436305157023,SHALLOW_DRAWDOWN,300,101,300,2025-11-13,2026-09-08,true daily close,UTC midnight from exchange/provider daily candle timestamps,dashboard Cycle Intelligence tab; reports/cycle_intelligence_report.*,PAXG is tokenized gold. It is not spot XAU/USD.
