date,open,high,low,close,volume
2021-01-01,1897.69495,1899.12012,1897.39441,1898.099976,0.0
2021-01-04,1906.045044,1944.64502,1905.35632,1942.27527,0.0
2021-01-05,1942.64502,1953.16504,1934.079956,1949.34998,0.0
2021-01-06,1950.29504,1959.60498,1901.11499,1918.81006,0.0
2021-01-07,1919.39502,1927.97498,1906.86499,1912.49902,0.0
2021-01-08,1912.89502,1917.85498,1828.745,1848.26001,0.0
2021-01-11,1849.34497,1857.045044,1817.13928,1844.66125,0.0
2021-01-12,1845.34497,1864.079956,1837.41003,1855.62915,0.0
2021-01-13,1856.19495,1863.255,1843.34497,1843.41003,0.0
2021-01-14,1843.94495,1857.59497,1833.20996,1846.36938,0.0
2021-01-15,1846.79504,1856.85498,1823.20996,1826.58997,0.0
2021-01-18,1828.93994,1840.94995,1810.46497,1836.89001,0.0
2021-01-19,1838.094971,1845.97998,1833.064941,1839.33691,0.0
2021-01-20,1840.045044,1872.030029,1832.46497,1870.90625,0.0
2021-01-21,1871.069946,1875.45496,1858.16003,1869.91003,0.0
2021-01-22,1870.094971,1871.17004,1837.089966,1852.55005,0.0
2021-01-25,1855.75,1868.44995,1847.29504,1854.99146,0.0
2021-01-26,1855.54504,1861.85999,1848.36499,1850.31006,0.0
2021-01-27,1850.64502,1853.57996,1831.29004,1843.98999,0.0
2021-01-28,1844.34497,1864.255,1833.81494,1840.35999,0.0
2021-01-29,1840.89502,1876.030029,1839.56494,1846.089966,0.0
2021-02-01,1863.045044,1871.84497,1849.040039,1860.16003,0.0
2021-02-02,1860.84497,1864.26001,1829.46497,1837.35022,0.0
2021-02-03,1837.495,1845.28503,1829.495,1833.76074,0.0
2021-02-04,1834.34497,1835.13,1785.14502,1792.26001,0.0
2021-02-05,1792.495,1815.32495,1791.80005,1811.6156,0.0
2021-02-08,1815.44495,1839.14502,1807.47998,1830.16003,0.0
2021-02-09,1830.59497,1849.15002,1828.63,1837.060059,0.0
2021-02-10,1837.54504,1855.70496,1833.91406,1842.21606,0.0
2021-02-11,1842.64502,1847.94995,1820.63,1825.35999,0.0
2021-02-12,1825.89502,1830.79504,1810.32996,1823.45996,0.0
2021-02-15,1825.34497,1827.58752,1815.71497,1818.51294,0.0
2021-02-16,1819.34497,1826.75,1789.18994,1794.31006,0.0
2021-02-17,1794.64502,1795.44995,1769.26501,1776.26001,0.0
2021-02-18,1776.69495,1789.875,1767.97998,1775.48975,0.0
2021-02-19,1776.19495,1791.70496,1760.13,1782.31006,0.0
2021-02-22,1782.245,1812.755,1780.46216,1808.66003,0.0
2021-02-23,1809.094971,1816.26709,1795.78174,1805.060059,0.0
2021-02-24,1805.34497,1813.98999,1783.29504,1804.35999,0.0
2021-02-25,1804.79504,1806.055054,1765.44495,1769.87915,0.0
2021-02-26,1770.495,1776.10498,1717.255,1733.48999,0.0
2021-03-01,1733.39502,1760.015015,1719.52002,1723.83887,0.0
2021-03-02,1724.099976,1738.89185,1707.18005,1738.087769,0.0
2021-03-03,1738.59497,1740.85498,1701.93994,1710.94995,0.0
2021-03-04,1711.84497,1723.34497,1690.63501,1697.18994,0.0
2021-03-05,1698.59497,1707.755,1687.12158,1700.85999,0.0
2021-03-08,1702.79504,1714.44995,1676.70496,1681.2439,0.0
2021-03-09,1682.54504,1720.82996,1679.80005,1715.35999,0.0
2021-03-10,1715.94495,1726.755,1707.98999,1726.047974,0.0
2021-03-11,1726.54504,1739.98999,1719.38196,1721.41003,0.0
2021-03-12,1721.59497,1728.42004,1698.85498,1726.40686,0.0
2021-03-15,1727.745,1734.98999,1721.3075,1731.83618,0.0
2021-03-16,1730.56995,1741.40002,1725.79504,1730.93994,0.0
2021-03-17,1730.60999,1751.81494,1724.13501,1744.43994,0.0
2021-03-18,1745.094971,1755.58997,1719.045044,1736.4093,0.0
2021-03-19,1735.89502,1746.88,1728.040039,1744.74023,0.0
2021-03-22,1745.745,1747.1781,1727.39502,1738.68994,0.0
2021-03-23,1739.045044,1742.84998,1724.41504,1727.11035,0.0
2021-03-24,1727.79504,1738.5603,1723.85498,1734.18994,0.0
2021-03-25,1735.64502,1745.95496,1721.84497,1726.81995,0.0
2021-03-26,1727.29504,1737.0050049,1721.22998,1731.96643,0.0
2021-03-29,1732.14502,1733.34497,1705.57996,1711.99463,0.0
2021-03-30,1712.54504,1714.74451,1678.84998,1684.79614,0.0
2021-03-31,1685.59497,1715.27502,1677.92505,1707.0074463,0.0
2021-04-01,1708.090088,1730.79822,1705.41956,1730.18201,0.0
2021-04-02,1730.47498,1732.54504,1728.67249,1728.83997,0.0
2021-04-05,1728.745,1733.75,1721.21997,1728.43994,0.0
2021-04-06,1728.495,1745.67505,1726.82263,1743.56995,0.0
2021-04-07,1742.96497,1744.56604,1730.13,1737.28003,0.0
2021-04-08,1737.84497,1759.125,1732.98999,1755.93994,0.0
2021-04-09,1756.54004,1757.46997,1731.089966,1743.099976,0.0
2021-04-12,1743.79504,1745.35999,1727.18005,1732.51367,0.0
2021-04-13,1732.59497,1749.23499,1723.26501,1743.82983,0.0
2021-04-14,1744.30005,1749.57996,1732.13,1736.00354,0.0
2021-04-15,1737.099976,1769.91003,1734.10498,1763.20837,0.0
2021-04-16,1763.84497,1784.074951,1759.78503,1776.3064,0.0
2021-04-19,1779.5,1790.53503,1765.97998,1769.31006,0.0
2021-04-20,1770.30005,1780.76501,1763.18005,1777.2533,0.0
2021-04-21,1778.6449,1797.97998,1775.95496,1793.46167,0.0
2021-04-22,1794.15002,1798.28503,1776.82996,1783.93994,0.0
2021-04-23,1784.32996,1796.060059,1770.054565,1777.18005,0.0
2021-04-26,1776.34497,1783.69104,1768.70496,1780.18994,0.0
2021-04-27,1780.42004,1785.90002,1773.51501,1776.68994,0.0
2021-04-28,1776.79504,1782.84998,1762.56494,1781.32373,0.0
2021-04-29,1780.90002,1790.42505,1756.19495,1771.24329,0.0
2021-04-30,1772.89502,1773.97998,1763.72998,1768.58997,0.0
2021-05-03,1768.495,1798.22498,1765.91003,1792.36145,0.0
2021-05-04,1792.29004,1799.375,1770.84497,1778.48315,0.0
2021-05-05,1778.91003,1788.34863,1769.95496,1786.44397,0.0
2021-05-06,1787.094971,1818.21497,1781.66504,1815.17834,0.0
2021-05-07,1815.47998,1843.45496,1812.9032,1830.47705,0.0
2021-05-10,1833.245,1845.53003,1830.089966,1835.43994,0.0
2021-05-11,1834.58496,1842.32495,1817.68005,1836.93994,0.0
2021-05-12,1837.39502,1843.68994,1813.0,1815.43994,0.0
2021-05-13,1815.89502,1828.81006,1808.77502,1826.56995,0.0
2021-05-14,1826.495,1845.54504,1819.78503,1842.18994,0.0
2021-05-17,1843.84497,1868.80005,1841.245,1866.13245,0.0
2021-05-18,1866.59497,1875.40002,1862.94495,1868.21997,0.0
2021-05-19,1869.59497,1890.14502,1851.93506,1869.56995,0.0
2021-05-20,1869.745,1884.12,1863.53003,1876.68994,0.0
2021-05-21,1876.83997,1889.84998,1870.01001,1880.30005,0.0
2021-05-24,1882.34497,1887.43506,1875.18994,1881.069946,0.0
2021-05-25,1880.69495,1900.62659,1872.72998,1899.26404,0.0
2021-05-26,1899.495,1913.15002,1890.33997,1896.43994,0.0
2021-05-27,1896.495,1903.87,1888.22498,1896.079956,0.0
2021-05-28,1897.045044,1905.89502,1881.84497,1902.64001,0.0
2021-05-31,1903.69495,1911.12952,1901.56006,1906.35999,0.0
2021-06-01,1907.52551,1916.84497,1892.28003,1900.18994,0.0
2021-06-02,1900.045044,1909.33521,1894.045044,1907.94397,0.0
2021-06-03,1908.094971,1909.88501,1865.10999,1870.56995,0.0
2021-06-04,1871.31995,1896.60498,1856.094971,1889.96997,0.0
2021-06-07,1888.48999,1900.40503,1880.88,1898.99622,0.0
2021-06-08,1898.995,1903.95496,1883.38,1892.81995,0.0
