trade_id,asset,symbol,strategy_version,status,opened_at,open_close_time,entry_price,stop_loss,target,target_mode,quantity,notional,risk_dollars,entry_fee,entry_slippage_bps,planned_reward_r,entry_rsi,entry_ma20,entry_bb_lower,entry_ma200,entry_atr,event,timestamp,closed_at,exit_reason,exit_price,gross_pnl,exit_fee,fees,slippage_bps,net_pnl,r_multiple,equity_after,holding_hours
MR-BTC-1783497600,BTC,BTCUSDT,mean-reversion-v1.0.0,OPEN,2026-07-08T08:00:00+00:00,1783497600,61972.351991999996,61254.53127771428,63234.708000000006,FROZEN_MA20,0.13931055207776727,8633.402569563239,100.0,8.63340256956324,2.0,1.7585951239316775,24.13074788134284,63234.708000000006,62140.87522099583,61741.39315,478.5471428571431,ENTRY,2026-07-10T07:52:01.808977+00:00,,,,,,,,,,,
MR-BTC-1783497600,BTC,BTCUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-08T08:00:00+00:00,1783497600,61972.351991999996,61254.53127771428,63234.708000000006,FROZEN_MA20,0.13931055207776727,8633.402569563239,100.0,8.63340256956324,2.0,1.7585951239316775,24.13074788134284,63234.708000000006,62140.87522099583,61741.39315,478.5471428571431,EXIT,2026-07-10T07:52:01.808977+00:00,2026-07-09T18:00:00+00:00,TARGET,63222.06105840001,174.09765997677698,8.807500229540018,17.440902799103256,2.0,156.65675717767374,1.5665675717767373,10156.656757177674,0.034
MR-BTC-1783904400,BTC,BTCUSDT,mean-reversion-v1.0.0,OPEN,2026-07-13T01:00:00+00:00,1783904400,63381.44375399999,62974.46161114285,63947.022,FROZEN_MA20,0.16024653519409124,10156.656757177674,65.21747827872414,10.156656757177675,2.0,1.3896881126760605,34.03468850322365,63947.022,63562.004308843156,63327.101449999995,271.32142857142804,ENTRY,2026-07-13T08:37:30.389827+00:00,,,,,,,,,,,
MR-BTC-1783904400,BTC,BTCUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-13T01:00:00+00:00,1783904400,63381.44375399999,62974.46161114285,63947.022,FROZEN_MA20,0.16024653519409124,10156.656757177674,65.21747827872414,10.156656757177675,2.0,1.3896881126760605,34.03468850322365,63947.022,63562.004308843156,63327.101449999995,271.32142857142804,EXIT,2026-07-13T08:37:30.389827+00:00,2026-07-13T03:00:00+00:00,SL,62961.866718820624,-67.23576613450321,10.08942099104317,20.246077748220845,2.0,-87.48184388272405,-1.3413864839858918,10069.17491329495,0.002
MR-ETH-1783915200,ETH,ETHUSDT,mean-reversion-v1.0.0,OPEN,2026-07-13T04:00:00+00:00,1783915200,1777.815492,1756.2626348571428,1808.234,FROZEN_MA20,4.639756081394568,8248.630240604476,100.0,8.248630240604477,2.0,1.411344574799492,28.30567593277665,1808.234,1782.7479784195255,1776.9604499999998,14.368571428571434,ENTRY,2026-07-13T08:37:30.389827+00:00,,,,,,,,,,,
MR-ETH-1783915200,ETH,ETHUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-13T04:00:00+00:00,1783915200,1777.815492,1756.2626348571428,1808.234,FROZEN_MA20,4.639756081394568,8248.630240604476,100.0,8.248630240604477,2.0,1.411344574799492,28.30567593277665,1808.234,1782.7479784195255,1776.9604499999998,14.368571428571434,EXIT,2026-07-13T20:42:46.172633+00:00,2026-07-13T18:00:00+00:00,SL,1755.9113823301714,-101.62972604812073,8.147000514556353,16.39563075516083,2.0,-118.02535680328157,-1.1802535680328157,9881.974643196718,0.014
MR-BTC-1783904400000,BTC,BTCUSDT,mean-reversion-v1.0.0,OPEN,2026-07-13T01:00:00+00:00,1783904400000,63381.44375399999,62974.46161114285,63947.022,FROZEN_MA20,0.1588662914081929,10069.17491329495,64.65574370507397,10.06917491329495,2.0,1.3896881126760605,34.03468850322365,63947.022,63562.00430884217,63327.101449999995,271.32142857142804,ENTRY,2026-07-14T16:47:05.421558+00:00,,,,,,,,,,,
MR-BTC-1783904400000,BTC,BTCUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-13T01:00:00+00:00,1783904400000,63381.44375399999,62974.46161114285,63947.022,FROZEN_MA20,0.1588662914081929,10069.17491329495,64.65574370507397,10.06917491329495,2.0,1.3896881126760605,34.03468850322365,63947.022,63562.00430884217,63327.101449999995,271.32142857142804,EXIT,2026-07-14T16:47:05.421558+00:00,2026-07-13T03:00:00+00:00,SL,62961.866718820624,-66.65664753899124,10.002518265755958,20.071693179050907,2.0,-86.72834071804215,-1.341386483985892,9982.446572576908,2.0
MR-ETH-1783915200000,ETH,ETHUSDT,mean-reversion-v1.0.0,OPEN,2026-07-13T04:00:00+00:00,1783915200000,1777.815492,1756.2626348571428,1808.234,FROZEN_MA20,4.584995194695888,8151.275487875906,98.81974643196718,8.151275487875907,2.0,1.411344574799492,28.30567593277665,1808.234,1782.7479784195352,1776.9604499999998,14.368571428571434,ENTRY,2026-07-14T16:47:05.421558+00:00,,,,,,,,,,,
MR-ETH-1783915200000,ETH,ETHUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-13T04:00:00+00:00,1783915200000,1777.815492,1756.2626348571428,1808.234,FROZEN_MA20,4.584995194695888,8151.275487875906,98.81974643196718,8.151275487875907,2.0,1.411344574799492,28.30567593277665,1808.234,1782.7479784195352,1776.9604499999998,14.368571428571434,EXIT,2026-07-14T16:47:05.421558+00:00,2026-07-13T17:00:00+00:00,SL,1755.9113823301714,-100.43023758025579,8.05084525029565,16.20212073817156,2.0,-116.63235831842735,-1.1802535680328154,9765.34228487829,13.0
MR-BNB-1784102399999,BNB,BNBUSDT,mean-reversion-v1.0.0,OPEN,2026-07-15T07:59:59.999000+00:00,1784102399999,576.605298,573.2367265714286,580.367,FROZEN_MA20,17.342886086350184,10000.0,58.42075055944745,10.0,2.0,1.1167054283291107,34.36376707404759,580.367,577.3893089481876,574.2579,2.2457142857142736,ENTRY,2026-07-15T13:13:52.932162+00:00,,,,,,,,,,,
MR-BNB-1784102399999,BNB,BNBUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-15T07:59:59.999000+00:00,1784102399999,576.605298,573.2367265714286,580.367,FROZEN_MA20,17.342886086350184,10000.0,58.42075055944745,10.0,2.0,1.1167054283291107,34.36376707404759,580.367,577.3893089481876,574.2579,2.2457142857142736,EXIT,2026-07-15T13:13:52.932162+00:00,2026-07-15T12:59:59.999000+00:00,TARGET,580.2509266,63.22572152294046,10.063225721522942,20.06322572152294,2.0,43.16249580141752,0.7388213158524295,10043.162495801418,5.0
MR-BTC-1784185200000,BTC,BTCUSDT,mean-reversion-v1.0.0,OPEN,2026-07-16T07:00:00+00:00,1784185200000,64189.315296,63750.517081714286,64834.8415,FROZEN_MA20,0.15551570423433025,9982.446572576908,68.24001331140944,9.982446572576908,2.0,1.4711231335587898,29.677957371661293,64834.8415,64281.715411942256,63563.98945,292.5321428571437,ENTRY,2026-07-16T07:49:02.864897+00:00,,,,,,,,,,,
MR-ETH-1784185200000,ETH,ETHUSDT,mean-reversion-v1.0.0,OPEN,2026-07-16T07:00:00+00:00,1784185200000,1907.041332,1889.2277605714285,1921.459,FROZEN_MA20,5.1206767892319025,9765.34228487829,91.21754174761092,9.76534228487829,2.0,0.8093642567865564,32.74550484094067,1921.459,1910.5523801754039,1803.5051500000002,11.875714285714318,ENTRY,2026-07-16T07:49:02.864897+00:00,,,,,,,,,,,
MR-ETH-1784185200000,ETH,ETHUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-16T07:00:00+00:00,1784185200000,1907.041332,1889.2277605714285,1921.459,FROZEN_MA20,5.1206767892319025,9765.34228487829,91.21754174761092,9.76534228487829,2.0,0.8093642567865564,32.74550484094067,1921.459,1910.5523801754039,1803.5051500000002,11.875714285714318,EXIT,2026-07-16T13:06:18.224139+00:00,2026-07-16T08:00:00+00:00,SL,1888.8499150193143,-93.15236669623658,9.672189918182054,19.437532203060343,2.0,-112.58989889929693,-1.2343009550818747,9652.752385978993,1.0
MR-ETH-1784188800000,ETH,ETHUSDT,mean-reversion-v1.0.0,OPEN,2026-07-16T08:00:00+00:00,1784188800000,1885.346994,1865.1109225714285,1919.538,FROZEN_MA20,4.770072303831762,8993.241479191867,96.52752385978992,8.993241479191868,2.0,1.6896069042198327,24.980216301767356,1919.538,1900.699719186765,1804.0461000000003,13.49071428571431,ENTRY,2026-07-16T13:06:18.224139+00:00,,,,,,,,,,,
MR-XRP-1784203200000,XRP,XRPUSDT,mean-reversion-v1.0.0,OPEN,2026-07-16T12:00:00+00:00,1784203200000,1.10092014,1.0909987114285713,1.110855,FROZEN_MA20,9083.310983846659,10000.0,90.1194211183078,10.0,2.0,1.0013537796976166,32.038834951456266,1.110855,1.1022467539533438,1.0957695,0.006614285714285716,ENTRY,2026-07-16T13:06:18.224139+00:00,,,,,,,,,,,
MR-BTC-1784185200000,BTC,BTCUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-16T07:00:00+00:00,1784185200000,64189.315296,63750.517081714286,64834.8415,FROZEN_MA20,0.15551570423433025,9982.446572576908,68.24001331140944,9.982446572576908,2.0,1.4711231335587898,29.677957371661293,64834.8415,64281.715411942256,63563.98945,292.5321428571437,EXIT,2026-07-16T17:48:33.724817+00:00,2026-07-16T15:00:00+00:00,TARGET,64821.87453170001,98.37289500981612,10.080819467586725,20.063266040163633,2.0,78.3096289696525,1.1475617481534028,10060.756201546561,8.0
MR-ETH-1784188800000,ETH,ETHUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-16T08:00:00+00:00,1784188800000,1885.346994,1865.1109225714285,1919.538,FROZEN_MA20,4.770072303831762,8993.241479191867,96.52752385978992,8.993241479191868,2.0,1.6896069042198327,24.980216301767356,1919.538,1900.699719186765,1804.0461000000003,13.49071428571431,EXIT,2026-07-16T17:48:33.724817+00:00,2026-07-16T17:00:00+00:00,SL,1864.7379003869144,-98.30686665085585,8.894934612541011,17.88817609173288,2.0,-116.19504274258873,-1.2037503718770064,9536.557343236404,9.0
MR-XRP-1784203200000,XRP,XRPUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-16T12:00:00+00:00,1784203200000,1.10092014,1.0909987114285713,1.110855,FROZEN_MA20,9083.310983846659,10000.0,90.1194211183078,10.0,2.0,1.0013537796976166,32.038834951456266,1.110855,1.1022467539533438,1.0957695,0.006614285714285716,EXIT,2026-07-16T17:48:33.724817+00:00,2026-07-16T14:00:00+00:00,TARGET,1.110632829,88.22337467638759,10.088223374676389,20.08822337467639,2.0,68.1351513017112,0.7560540276025977,10068.13515130171,2.0
MR-ETH-1784253600000,ETH,ETHUSDT,mean-reversion-v1.0.0,OPEN,2026-07-17T02:00:00+00:00,1784253600000,1846.909308,1825.4796651428571,1874.693,FROZEN_MA20,4.450170918297735,8219.062091194994,95.36557343236403,8.219062091194994,2.0,1.2965074679599327,33.52416455864724,1874.693,1848.2302041537546,1815.79095,14.286428571428571,ENTRY,2026-07-17T07:34:35.409851+00:00,,,,,,,,,,,
MR-ETH-1784253600000,ETH,ETHUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-17T02:00:00+00:00,1784253600000,1846.909308,1825.4796651428571,1874.693,FROZEN_MA20,4.450170918297735,8219.062091194994,95.36557343236403,8.219062091194994,2.0,1.2965074679599327,33.52416455864724,1874.693,1848.2302041537546,1815.79095,14.286428571428571,EXIT,2026-07-17T07:34:35.409851+00:00,2026-07-17T05:00:00+00:00,SL,1825.1145692098287,-96.99031273591598,8.122071778459079,16.341133869654072,2.0,-113.33144660557005,-1.1883895050025357,9423.225896630833,3.0
MR-ETH-1784264400000,ETH,ETHUSDT,mean-reversion-v1.0.0,OPEN,2026-07-17T05:00:00+00:00,1784264400000,1822.584444,1802.3215868571428,1866.932,FROZEN_MA20,4.650492193768722,8475.914729306307,94.23225896630832,8.475914729306307,2.0,2.1886131697687414,19.888013272500956,1866.932,1835.4276462691237,1817.34215,13.508571428571438,ENTRY,2026-07-17T07:34:35.409851+00:00,,,,,,,,,,,
MR-ETH-1784264400000,ETH,ETHUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-17T05:00:00+00:00,1784264400000,1822.584444,1802.3215868571428,1866.932,FROZEN_MA20,4.650492193768722,8475.914729306307,94.23225896630832,8.475914729306307,2.0,2.1886131697687414,19.888013272500956,1866.932,1835.4276462691237,1817.34215,13.508571428571438,EXIT,2026-07-17T13:57:18.817942+00:00,2026-07-17T13:00:00+00:00,SL,1801.9611225397714,-95.90859546037643,8.380006133845932,16.85592086315224,2.0,-112.76451632352867,-1.1966657444118616,9310.461380307304,8.0
MR-BTC-1784462400000,BTC,BTCUSDT,mean-reversion-v1.0.0,OPEN,2026-07-19T12:00:00+00:00,1784462400000,64291.435716,64052.57464457143,64618.189,FROZEN_MA20,0.15648672470138622,10060.756201546561,37.37858672652044,10.06075620154656,2.0,1.3679637374385436,22.359421411418893,64618.189,64343.65237811533,63924.769049999995,159.24071428571293,ENTRY,2026-07-19T12:31:42.311479+00:00,,,,,,,,,,,
MR-BTC-1784462400000,BTC,BTCUSDT,mean-reversion-v1.0.0,CLOSED,2026-07-19T12:00:00+00:00,1784462400000,64291.435716,64052.57464457143,64618.189,FROZEN_MA20,0.15648672470138622,10060.756201546561,37.37858672652044,10.06075620154656,2.0,1.3679637374385436,22.359421411418893,64618.189,64343.65237811533,63924.769049999995,159.24071428571293,EXIT,2026-07-19T17:17:07.860371+00:00,2026-07-19T17:00:00+00:00,TARGET,64605.2653622,49.11017344803281,10.109866374994594,20.170622576541156,2.0,28.939550871491655,0.7742280649406893,10089.695752418053,5.0
MR-BTC-1784696400000,BTC,BTCUSDT,mean-reversion-v1.0.0,OPEN,2026-07-22T05:00:00+00:00,1784696400000,65950.50746400001,65535.24639257143,66385.7285,FROZEN_MA20,0.15298890244211769,10089.695752418053,63.53033554479576,10.089695752418052,2.0,1.048066062399602,33.96228968379293,66385.7285,65969.11254009219,64497.5412,276.8407142857167,ENTRY,2026-07-22T07:17:20.478864+00:00,,,,,,,,,,,
MR-SOL-1784700000000,SOL,SOLUSDT,mean-reversion-v1.0.0,OPEN,2026-07-22T06:00:00+00:00,1784700000000,77.26545,76.62259285714286,78.0035,FROZEN_MA20,129.42395339702287,10000.0,83.20111289808561,10.0,2.0,1.1480777777777869,33.92226148409907,78.0035,77.36277306908377,76.41315,0.42857142857142855,ENTRY,2026-07-22T07:17:20.478864+00:00,,,,,,,,,,,
