trade_id,candidate_id,family,asset,symbol,side,strategy_version,status,opened_at,open_close_time,entry_price,stop_loss,target,target_mode,quantity,notional,risk_dollars,entry_fee,entry_slippage_bps,planned_reward_r,entry_adx,entry_ma20,entry_bb_lower,entry_bb_upper,entry_band_distance_atr,entry_atr,event,timestamp,closed_at,exit_reason,exit_price,gross_pnl,exit_fee,fees,slippage_bps,net_pnl,r_multiple,equity_after,holding_hours
SLAB-RMR_ADX_FALLING_ETH_4H-ETH-1784512800000,RMR_ADX_FALLING_ETH_4H,Range Mean Reversion,ETH,ETHUSDT,SHORT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,OPEN,2026-07-20T02:00:00+00:00,1784512800000,1877.0445160000002,1903.9559445714287,1868.1965,DYNAMIC_MA20,3.71589340694341,6974.897341543685,100.0,6.974897341543685,2.0,0.32878284318930334,24.197043979071736,1868.1965,1859.5471433187777,1876.8458566812224,0.04266910745773433,13.45571428571431,ENTRY,2026-07-20T04:04:33.948188+00:00,,,,,,,,,,,
SLAB-RMR_ADX_FALLING_ETH_4H-ETH-1784512800000,RMR_ADX_FALLING_ETH_4H,Range Mean Reversion,ETH,ETHUSDT,SHORT,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,CLOSED,2026-07-20T02:00:00+00:00,1784512800000,1877.0445160000002,1903.9559445714287,1868.1965,DYNAMIC_MA20,3.71589340694341,6974.897341543685,100.0,6.974897341543685,2.0,0.32878284318930334,24.197043979071736,1868.1965,1859.5471433187777,1876.8458566812224,0.04266910745773433,13.45571428571431,EXIT,2026-07-20T07:23:39.375734+00:00,2026-07-20T05:00:00+00:00,TARGET,1868.2500752999997,32.67920421488646,6.9422181373287986,13.917115478872484,2.0,18.76208873601398,0.1876208873601398,10018.762088736014,3.0
SLAB-RMR_ADX_FALLING_ETH_4H-ETH-1784523600000,RMR_ADX_FALLING_ETH_4H,Range Mean Reversion,ETH,ETHUSDT,LONG,strategy-lab-v1.0.0:RMR_ADX_FALLING_ETH_4H,OPEN,2026-07-20T05:00:00+00:00,1784523600000,1854.4108079999999,1825.1693794285713,1867.8764999999999,DYNAMIC_MA20,3.4262218291637225,6353.622790606736,100.18762088736014,6.353622790606736,2.0,0.46050048365821544,17.137781614724453,1867.8764999999999,1856.488309142844,1879.2646908571558,0.16745482436765696,14.620714285714305,ENTRY,2026-07-20T07:23:39.375734+00:00,,,,,,,,,,,
