timestamp,candidate_id,asset,symbol,strategy_version,candle_close_time,candle_time,open,high,low,close,rsi,ma20,bb_lower,ma200,atr,passed,rejection_reasons
2026-07-16T20:39:17.276811+00:00,NEW_XRP_2H_MR,XRP,XRPUSDT,strategy-lab-v1.0.0:NEW_XRP_2H_MR,1784016000000,2026-07-14T08:00:00+00:00,1.0675,1.0702,1.0665,1.0678,59.580052493438366,1.065735,1.0564397807987205,1.101747,0.0062857142857142756,False,RSI_NOT_BELOW_30|CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB|CLOSE_NOT_ABOVE_MA200|TARGET_NOT_ABOVE_ENTRY
2026-07-16T20:39:17.276811+00:00,NEW_XRP_2H_MR,XRP,XRPUSDT,strategy-lab-v1.0.0:NEW_XRP_2H_MR,1784019600000,2026-07-14T09:00:00+00:00,1.0675,1.0693,1.0665,1.0674,51.97568389057727,1.065715,1.0564359321588943,1.101326,0.005749999999999985,False,RSI_NOT_BELOW_30|CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB|CLOSE_NOT_ABOVE_MA200|TARGET_NOT_ABOVE_ENTRY
2026-07-16T20:39:17.276811+00:00,NEW_XRP_2H_MR,XRP,XRPUSDT,strategy-lab-v1.0.0:NEW_XRP_2H_MR,1784023200000,2026-07-14T10:00:00+00:00,1.0673,1.0711,1.0666,1.07,64.16938110749192,1.0654,1.057216602172701,1.100938,0.005421428571428561,False,RSI_NOT_BELOW_30|CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB|CLOSE_NOT_ABOVE_MA200|TARGET_NOT_ABOVE_ENTRY
2026-07-16T20:39:17.276811+00:00,NEW_XRP_2H_MR,XRP,XRPUSDT,strategy-lab-v1.0.0:NEW_XRP_2H_MR,1784026800000,2026-07-14T11:00:00+00:00,1.07,1.0718,1.0679,1.0716,72.44897959183649,1.0654,1.057216602172701,1.1005645,0.0050571428571428555,False,RSI_NOT_BELOW_30|CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB|CLOSE_NOT_ABOVE_MA200|TARGET_NOT_ABOVE_ENTRY
2026-07-16T20:39:17.276811+00:00,NEW_XRP_2H_MR,XRP,XRPUSDT,strategy-lab-v1.0.0:NEW_XRP_2H_MR,1784030400000,2026-07-14T12:00:00+00:00,1.0715,1.0903,1.0692,1.0883,84.25720620842561,1.06644,1.0535310263769795,1.1002815000000001,0.00617857142857143,False,RSI_NOT_BELOW_30|CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB|CLOSE_NOT_ABOVE_MA200|TARGET_NOT_ABOVE_ENTRY
2026-07-16T20:39:17.276811+00:00,NEW_XRP_2H_MR,XRP,XRPUSDT,strategy-lab-v1.0.0:NEW_XRP_2H_MR,1784034000000,2026-07-14T13:00:00+00:00,1.0883,1.1039,1.0843,1.0981,84.59869848156168,1.068445,1.0500932725608776,1.100073,0.006871428571428576,False,RSI_NOT_BELOW_30|CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB|CLOSE_NOT_ABOVE_MA200|TARGET_NOT_ABOVE_ENTRY
2026-07-16T20:39:17.276811+00:00,NEW_XRP_2H_MR,XRP,XRPUSDT,strategy-lab-v1.0.0:NEW_XRP_2H_MR,1784037600000,2026-07-14T14:00:00+00:00,1.0982,1.1036,1.0939,1.102,85.2390852390851,1.07052,1.0474521349058947,1.099899,0.007121428571428564,False,RSI_NOT_BELOW_30|CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB|TARGET_NOT_ABOVE_ENTRY
2026-07-16T20:39:17.276811+00:00,NEW_XRP_2H_MR,XRP,XRPUSDT,strategy-lab-v1.0.0:NEW_XRP_2H_MR,1784041200000,2026-07-14T15:00:00+00:00,1.102,1.1099,1.1001,1.1038,93.24618736383421,1.072405,1.0452845667438768,1.0996940000000002,0.00740714285714285,False,RSI_NOT_BELOW_30|CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB|TARGET_NOT_ABOVE_ENTRY
2026-07-16T20:39:17.276811+00:00,NEW_XRP_2H_MR,XRP,XRPUSDT,strategy-lab-v1.0.0:NEW_XRP_2H_MR,1784044800000,2026-07-14T16:00:00+00:00,1.1037,1.108,1.1015,1.1041,93.18681318681301,1.074545,1.0446543676881899,1.099508,0.007521428571428583,False,RSI_NOT_BELOW_30|CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB|TARGET_NOT_ABOVE_ENTRY
2026-07-16T20:39:17.276811+00:00,NEW_XRP_2H_MR,XRP,XRPUSDT,strategy-lab-v1.0.0:NEW_XRP_2H_MR,1784048400000,2026-07-14T17:00:00+00:00,1.104,1.1048,1.0974,1.1038,92.51101321585848,1.0768149999999999,1.045320919603839,1.0993515,0.007585714285714307,False,RSI_NOT_BELOW_30|CLOSE_NOT_NEAR_OR_BELOW_LOWER_BB|TARGET_NOT_ABOVE_ENTRY
