trade_id,candidate_id,family,asset,symbol,side,strategy_version,status,opened_at,open_close_time,entry_price,stop_loss,target,target_mode,quantity,notional,risk_dollars,entry_fee,entry_slippage_bps,planned_reward_r,entry_rsi,entry_ma20,entry_bb_lower,entry_ma200,entry_atr,event,timestamp,closed_at,exit_reason,exit_price,gross_pnl,exit_fee,fees,slippage_bps,net_pnl,r_multiple,equity_after,holding_hours
SLAB-SHORT_BTC_BREAKDOWN_4H-BTC-1785200400000,SHORT_BTC_BREAKDOWN_4H,Short Momentum,BTC,BTCUSDT,SHORT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,OPEN,2026-07-28T01:00:00+00:00,1785200400000,63157.835906,63762.47054885714,62402.04260242857,FIXED_125R,0.1583334808191235,10000.0,95.73390762739879,10.0,2.0,1.250000000000006,21.808379116737214,64680.235499999995,63416.5625212833,65021.37875,465.10357142857123,ENTRY,2026-07-28T03:38:25.095516+00:00,,,,,,,,,,,
SLAB-SHORT_BTC_BREAKDOWN_4H-BTC-1785200400000,SHORT_BTC_BREAKDOWN_4H,Short Momentum,BTC,BTCUSDT,SHORT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,CLOSED,2026-07-28T01:00:00+00:00,1785200400000,63157.835906,63762.47054885714,62402.04260242857,FIXED_125R,0.1583334808191235,10000.0,95.73390762739879,10.0,2.0,1.250000000000006,21.808379116737214,64680.235499999995,63416.5625212833,65021.37875,465.10357142857123,EXIT,2026-07-28T15:32:41.416733+00:00,2026-07-28T15:00:00+00:00,SL,63775.223042966914,-97.75305440892446,10.097753054408924,20.097753054408926,2.0,-117.85080746333338,-1.2310247265996357,9882.149192536666,14.0
SLAB-SHORT_BTC_BREAKDOWN_4H-BTC-1785506400000,SHORT_BTC_BREAKDOWN_4H,Short Momentum,BTC,BTCUSDT,SHORT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,OPEN,2026-07-31T14:00:00+00:00,1785506400000,62581.801136,63077.718636000005,61961.904260999996,FIXED_125R,0.15790771459359593,9882.149192536666,78.30919905197011,9.882149192536666,2.0,1.2500000000000038,11.835427408862643,64117.943999999996,62987.90652879145,64358.1183,381.4750000000001,ENTRY,2026-07-31T15:32:45.406563+00:00,,,,,,,,,,,
SLAB-SHORT_BTC_BREAKDOWN_4H-BTC-1785506400000,SHORT_BTC_BREAKDOWN_4H,Short Momentum,BTC,BTCUSDT,SHORT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,CLOSED,2026-07-31T14:00:00+00:00,1785506400000,62581.801136,63077.718636000005,61961.904260999996,FIXED_125R,0.15790771459359593,9882.149192536666,78.30919905197011,9.882149192536666,2.0,1.2500000000000038,11.835427408862643,64117.943999999996,62987.90652879145,64358.1183,381.4750000000001,EXIT,2026-07-31T18:43:38.643041+00:00,2026-07-31T18:00:00+00:00,SL,63090.3341797272,-80.30129073028712,9.962450483266954,19.84459967580362,2.0,-100.14589040609074,-1.2788521861860527,9782.003302130575,4.0
SLAB-SHORT_BTC_BREAKDOWN_4H-BTC-1785603600000,SHORT_BTC_BREAKDOWN_4H,Short Momentum,BTC,BTCUSDT,SHORT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,OPEN,2026-08-01T17:00:00+00:00,1785603600000,62716.294232,62857.82244628572,62539.38396414285,FIXED_125R,0.15597227836748465,9782.003302130575,22.074478035424978,9.782003302130574,2.0,1.2500000000000258,37.73397285914802,62958.284,62789.656682472785,64060.46765,108.86785714285828,ENTRY,2026-08-01T17:35:12.835858+00:00,,,,,,,,,,,
SLAB-SHORT_BTC_BREAKDOWN_4H-BTC-1785603600000,SHORT_BTC_BREAKDOWN_4H,Short Momentum,BTC,BTCUSDT,SHORT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,CLOSED,2026-08-01T17:00:00+00:00,1785603600000,62716.294232,62857.82244628572,62539.38396414285,FIXED_125R,0.15597227836748465,9782.003302130575,22.074478035424978,9.782003302130574,2.0,1.2500000000000258,37.73397285914802,62958.284,62789.656682472785,64060.46765,108.86785714285828,EXIT,2026-08-01T18:35:05.812373+00:00,2026-08-01T18:00:00+00:00,TARGET,62551.89184093568,25.642215503364614,9.756361086627212,19.538364388757785,2.0,6.1038511146068295,0.27651168488837696,9788.107153245182,1.0
SLAB-SHORT_BTC_BREAKDOWN_4H-BTC-1785607200000,SHORT_BTC_BREAKDOWN_4H,Short Momentum,BTC,BTCUSDT,SHORT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,OPEN,2026-08-01T18:00:00+00:00,1785607200000,62227.681974,62412.72583114286,61996.377152571426,FIXED_125R,0.15729506294859022,9788.107153245182,29.106485157536156,9.788107153245182,2.0,1.2499999999999902,18.083348043069947,62922.21949999999,62556.878198557875,64046.771550000005,142.34142857142953,ENTRY,2026-08-01T18:35:05.812373+00:00,,,,,,,,,,,
SLAB-SHORT_BTC_BREAKDOWN_4H-BTC-1785607200000,SHORT_BTC_BREAKDOWN_4H,Short Momentum,BTC,BTCUSDT,SHORT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,CLOSED,2026-08-01T18:00:00+00:00,1785607200000,62227.681974,62412.72583114286,61996.377152571426,FIXED_125R,0.15729506294859022,9788.107153245182,29.106485157536156,9.788107153245182,2.0,1.2499999999999902,18.083348043069947,62922.21949999999,62556.878198557875,64046.771550000005,142.34142857142953,EXIT,2026-08-01T19:49:07.923880+00:00,2026-08-01T19:00:00+00:00,SL,62425.208376309085,-31.06992788521621,9.8191770811304,19.607284234375584,2.0,-50.67721211959179,-1.7410969357964754,9737.42994112559,1.0
SLAB-SHORT_BTC_BREAKDOWN_4H-BTC-1788282000000,SHORT_BTC_BREAKDOWN_4H,Short Momentum,BTC,BTCUSDT,SHORT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,OPEN,2026-09-01T17:00:00+00:00,1788282000000,77222.75236,77832.67057428572,76460.35459214286,FIXED_125R,0.12609534940856892,9737.42994112559,76.90785034100792,9.73742994112559,2.0,1.249999999999988,27.423670756483276,78250.47050000001,77352.45831100758,78701.11655,469.16785714285754,ENTRY,2026-09-01T20:58:37.217640+00:00,,,,,,,,,,,
SLAB-SHORT_BTC_BREAKDOWN_4H-BTC-1788282000000,SHORT_BTC_BREAKDOWN_4H,Short Momentum,BTC,BTCUSDT,SHORT,strategy-lab-v1.0.0:SHORT_BTC_BREAKDOWN_4H,CLOSED,2026-09-01T17:00:00+00:00,1788282000000,77222.75236,77832.67057428572,76460.35459214286,FIXED_125R,0.12609534940856892,9737.42994112559,76.90785034100792,9.73742994112559,2.0,1.249999999999988,27.423670756483276,78250.47050000001,77352.45831100758,78701.11655,469.16785714285754,EXIT,2026-09-01T20:58:37.217640+00:00,2026-09-01T18:00:00+00:00,TARGET,76475.64666306128,94.2065539006195,9.643223387224971,19.38065332835056,2.0,74.82590057226894,0.9729292944802429,9812.255841697859,1.0
