trade_id,candidate_id,family,asset,symbol,strategy_version,status,opened_at,open_close_time,entry_price,stop_loss,target,target_mode,quantity,notional,risk_dollars,entry_fee,entry_slippage_bps,planned_reward_r,entry_rsi,entry_ma20,entry_bb_lower,entry_ma200,entry_atr,event,timestamp,closed_at,exit_reason,exit_price,gross_pnl,exit_fee,fees,slippage_bps,net_pnl,r_multiple,equity_after,holding_hours,side
SLAB-NEW_BTC_12H_MR-BTC-1784185200000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-07-16T07:00:00+00:00,1784185200000,64185.474528,63734.53917085714,64834.6495,FROZEN_MA20,0.15579848982245417,10000.0,70.25504765040634,10.0,2.0,1.4396186985939523,29.62215835369348,64834.6495,64280.60752124937,63563.970250000006,300.6235714285722,EXIT,2026-07-16T20:39:17.276811+00:00,2026-07-16T15:00:00+00:00,TARGET,64821.6825701,99.12025217208021,10.099120252172078,20.099120252172078,2.0,79.02113191990813,1.1247751522868847,10079.021131919908,8.0,
SLAB-NEW_BTC_12H_MR-BTC-1784462400000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-07-19T12:00:00+00:00,1784462400000,64369.081242,64135.141242000005,64622.07050000001,FROZEN_MA20,0.15658171497006665,10079.021131919908,36.63072640009662,10.079021131919909,2.0,1.0814279644353855,24.52625271515194,64622.07050000001,64365.22455921284,63925.157199999994,155.95999999999862,EXIT,2026-07-19T23:11:13.385241+00:00,2026-07-19T23:00:00+00:00,TARGET,64609.14608590001,37.589764961884434,10.116610896881792,20.1956320288017,2.0,17.394132933082734,0.47485088728780583,10096.41526485299,11.0,
SLAB-NEW_BTC_12H_MR-BTC-1784523600000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-07-20T05:00:00+00:00,1784523600000,64088.995236,63589.29916457143,64504.85799999999,FROZEN_MA20,0.15753742475871493,10096.41526485299,78.72083225490445,10.096415264852991,2.0,0.8322314058045045,38.01189664977623,64504.85799999999,64195.931598370655,63952.22845000001,333.13071428571595,EXIT,2026-07-20T12:29:53.097866+00:00,2026-07-20T11:00:00+00:00,TARGET,64491.95702839999,63.48156305085039,10.15989682790384,20.25631209275683,2.0,43.22525095809356,0.5490954518637035,10139.640515811085,6.0,
SLAB-NEW_BTC_12H_MR-BTC-1784696400000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-07-22T05:00:00+00:00,1784696400000,65950.50746400001,65535.24639257143,66385.7285,FROZEN_MA20,0.15374620917581183,10139.640515811085,63.844815550429665,10.139640515811084,2.0,1.048066062399602,33.96228968379293,66385.7285,65969.11254009219,64497.5412,276.8407142857167,EXIT,2026-07-22T13:02:04.910890+00:00,2026-07-22T12:00:00+00:00,SL,65522.13934329292,-65.85997469048186,10.073780541120604,20.213421056931686,2.0,-86.07339574741354,-1.34816578300592,10053.567120063672,7.0,LONG
SLAB-NEW_BTC_12H_MR-BTC-1784721600000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-07-22T12:00:00+00:00,1784721600000,65599.12720199999,65174.18255914285,66156.05299999999,FROZEN_MA20,0.15325763541191076,10053.567120063672,65.12601114524405,10.053567120063672,2.0,1.3105843487176936,34.51476562642317,66156.05299999999,65638.22523596534,64619.45625,283.2964285714282,EXIT,2026-07-22T15:10:47.196087+00:00,2026-07-22T14:00:00+00:00,TARGET,66142.82178939998,83.32534685117751,10.13689246691485,20.19045958697852,2.0,63.134887264198994,0.9694265955179652,10116.70200732787,2.0,LONG
SLAB-NEW_BTC_12H_MR-BTC-1784808000000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-07-23T12:00:00+00:00,1784808000000,65136.044603999995,64714.983889714276,65747.96100000001,FROZEN_MA20,0.15531649287016433,10116.70200732787,65.39767342826416,10.11670200732787,2.0,1.4532735428382602,28.015212951726895,65747.96100000001,65272.19558562332,64835.90125,280.7071428571445,EXIT,2026-07-23T15:21:17.053845+00:00,2026-07-23T15:00:00+00:00,SL,64702.04089293633,-67.40793429504414,10.049294073032826,20.165996080360696,2.0,-87.57393037540484,-1.339098560921532,10029.128076952466,3.0,LONG
SLAB-NEW_BTC_12H_MR-BTC-1786240800000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-08-09T02:00:00+00:00,1786240800000,64795.966602,64666.775887714284,64961.15299999999,FROZEN_MA20,0.15478012911752606,10029.128076952466,19.99615543792858,10.029128076952466,2.0,1.2786243880861823,36.264941161936164,64961.15299999999,64808.92572372046,63946.0026,86.12714285714381,EXIT,2026-08-09T13:24:36.057796+00:00,2026-08-09T13:00:00+00:00,TARGET,64948.16076939999,23.55663288110482,10.05268470983357,20.08181278678604,2.0,3.4748200943187832,0.1737744090410383,10032.602897046785,11.0,LONG
SLAB-NEW_BTC_12H_MR-BTC-1787461200000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-08-23T05:00:00+00:00,1787461200000,76186.03416,75566.29737428571,77063.6635,FROZEN_MA20,0.13168559051094708,10032.602897046785,81.61040458814146,10.032602897046786,2.0,1.4161323972216397,34.57956539344056,77063.6635,76499.2138444471,68424.3253,413.1578571428576,EXIT,2026-08-23T12:26:20.287888+00:00,2026-08-23T12:00:00+00:00,TARGET,77048.2507673,113.54150308064548,10.14614440012743,20.178747297174215,2.0,93.36275578347127,1.1440055499619164,10125.965652830257,7.0,LONG
SLAB-NEW_BTC_12H_MR-BTC-1787688000000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-08-25T20:00:00+00:00,1787688000000,78200.48697,77134.66197,79532.3355,FROZEN_MA20,0.09500589358318941,7429.50714322541,101.25965652830257,7.42950714322541,2.0,1.2495940046442957,26.420821856203418,79532.3355,78153.2361297241,73226.175,710.5499999999998,EXIT,2026-08-26T23:23:33.709646+00:00,2026-08-26T20:00:00+00:00,TIME,78432.86029000001,22.076834911493687,7.451583978136902,14.881091121362314,2.0,7.195743790131374,0.07106229703751887,10133.161396620388,24.0,LONG
SLAB-NEW_BTC_12H_MR-BTC-1787907600000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-08-28T09:00:00+00:00,1787907600000,79308.848598,78703.44216942857,80049.40900000001,FROZEN_MA20,0.12776835845875495,10133.161396620388,77.35178557894866,10.133161396620388,2.0,1.223245025242815,38.17774950761379,80049.40900000001,79352.4707878489,77500.59025000001,403.6042857142872,EXIT,2026-08-28T18:36:40.497825+00:00,2026-08-28T14:00:00+00:00,SL,78687.70148099468,-79.3629475011569,10.053798449119231,20.18695984573962,2.0,-99.54990734689652,-1.2869762036106,10033.611489273491,5.0,LONG
SLAB-NEW_BTC_12H_MR-BTC-1787929200000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-08-28T15:00:00+00:00,1787929200000,78339.894846,77521.39306028571,79767.893,FROZEN_MA20,0.12258508978715874,9603.303043613483,100.33611489273491,9.603303043613485,2.0,1.7446487948145784,21.02603953936169,79767.893,78769.60576898648,77795.69565,545.6678571428575,EXIT,2026-08-28T18:36:40.497825+00:00,2026-08-28T16:00:00+00:00,SL,77505.88878167365,-102.23670827847955,9.501066335335004,19.10436937894849,2.0,-121.34107765742804,-1.2093459846152967,9912.270411616064,1.0,LONG
SLAB-NEW_BTC_12H_MR-BTC-1787936400000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-08-28T17:00:00+00:00,1787936400000,77916.820248,76992.75596228572,79536.01,FROZEN_MA20,0.10726819080508128,8357.996341287684,99.12270411616065,8.357996341287684,2.0,1.7522479518277168,24.329157780381962,79536.01,78051.42574172403,77857.78465,616.0428571428575,EXIT,2026-08-29T20:52:09.272566+00:00,2026-08-29T17:00:00+00:00,TIME,78080.790718,17.58881566235888,8.375585156950043,16.733581498237726,2.0,0.8552341641211534,0.008628035037451312,9913.125645780185,24.0,LONG
SLAB-NEW_BTC_12H_MR-BTC-1788523200000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-09-04T12:00:00+00:00,1788523200000,79462.95941400001,78687.61262828573,81037.8055,FROZEN_MA20,0.12475152849685664,9913.125645780185,96.72569663298148,9.913125645780186,2.0,2.031150596115744,27.13568780696714,81037.8055,80137.92918355374,78593.1737,516.8978571428555,EXIT,2026-09-04T16:16:28.374690+00:00,2026-09-04T14:00:00+00:00,SL,78671.87510576007,-98.68897662281061,9.814436669157374,19.727562314937558,2.0,-118.41653893774817,-1.224251083836294,9794.709106842436,2.0,LONG
SLAB-NEW_BTC_12H_MR-BTC-1788530400000,NEW_BTC_12H_MR,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:NEW_BTC_12H_MR,CLOSED,2026-09-04T14:00:00+00:00,1788530400000,78907.358316,78034.0176017143,80834.3225,FROZEN_MA20,0.11215220986065481,8849.634609405917,97.94709106842436,8.849634609405918,2.0,2.2064288913589034,23.225389398510032,80834.3225,79379.59225172827,78595.93115,582.2271428571403,EXIT,2026-09-05T15:06:09.475587+00:00,2026-09-05T14:00:00+00:00,TIME,79707.25536,89.71022114560516,8.939344830551523,17.78897943995744,2.0,71.92124170564772,0.7342866533463932,9866.630348548084,24.0,LONG
