trade_id,candidate_id,family,asset,symbol,strategy_version,status,opened_at,open_close_time,entry_price,stop_loss,target,target_mode,quantity,notional,risk_dollars,entry_fee,entry_slippage_bps,planned_reward_r,entry_rsi,entry_ma20,entry_bb_lower,entry_ma200,entry_atr,event,timestamp,closed_at,exit_reason,exit_price,gross_pnl,exit_fee,fees,slippage_bps,net_pnl,r_multiple,equity_after,holding_hours,side
SLAB-V2_MR_RECOVERY-ETH-1784196000000,V2_MR_RECOVERY,Mean Reversion,ETH,ETHUSDT,strategy-lab-v1.0.0:V2_MR_RECOVERY,CLOSED,2026-07-16T10:00:00+00:00,1784196000000,1887.3673979999999,1867.6391837142855,1915.265,FROZEN_MA20,5.068882492441923,9566.843560527866,100.0,9.566843560527866,2.0,1.4140966635891394,28.22244046157624,1915.265,1888.2664663361468,1805.3401000000001,13.152142857142865,EXIT,2026-07-18T17:09:10.301155+00:00,2026-07-16T12:00:00+00:00,SL,1867.2656558775427,-101.89336871210541,9.464950191815761,19.031793752343628,2.0,-120.92516246444904,-1.2092516246444904,9879.07483753555,2.0,
SLAB-V2_MR_RECOVERY-ETH-1784268000000,V2_MR_RECOVERY,Mean Reversion,ETH,ETHUSDT,strategy-lab-v1.0.0:V2_MR_RECOVERY,CLOSED,2026-07-17T06:00:00+00:00,1784268000000,1831.01613,1810.0600585714285,1864.1149999999998,FROZEN_MA20,4.714182651652177,8631.744474941306,98.7907483753555,8.631744474941305,2.0,1.5794405985309277,27.055365017148432,1864.1149999999998,1830.2979276843944,1817.7966000000001,13.97071428571428,EXIT,2026-07-18T17:09:10.301155+00:00,2026-07-17T13:00:00+00:00,SL,1809.6980465597142,-100.49733912066895,8.531247135820639,17.162991610761942,2.0,-117.66033073143089,-1.19100556141533,9761.41450680412,7.0,
SLAB-V2_MR_RECOVERY-EURUSD-1784221200000,V2_MR_RECOVERY,Mean Reversion,EURUSD,EURUSD=X,strategy-lab-v1.0.0:V2_MR_RECOVERY,CLOSED,2026-07-16T17:00:00+00:00,1784221200000,1.1442625963926316,1.1427571363346918,1.1463037252426147,FROZEN_MA20,8739.252713079763,10000.0,13.156595895783907,10.0,2.0,1.3558173391702577,31.04619671566556,1.1463037252426147,1.1440057124268164,1.1429472452402114,0.0010036400386265346,EXIT,2026-07-19T10:11:40.040311+00:00,2026-07-17T17:00:00+00:00,TIME,1.1435433708190919,-6.285494044873706,9.993714505955126,19.993714505955126,2.0,-26.279208550828834,-1.9974170187327962,9973.720791449172,24.0,
SLAB-V2_MR_RECOVERY-GBPUSD-1784199600000,V2_MR_RECOVERY,Mean Reversion,GBPUSD,GBPUSD=X,strategy-lab-v1.0.0:V2_MR_RECOVERY,CLOSED,2026-07-16T11:00:00+00:00,1784199600000,1.3509097095966338,1.3494057950019835,1.3530006289482117,FROZEN_MA20,7402.419220886261,10000.0,11.132606302010519,10.0,2.0,1.390317880427339,31.326199789951133,1.3530006289482117,1.3506895716117997,1.34008638381958,0.0010026097297668457,EXIT,2026-07-19T10:11:40.040311+00:00,2026-07-16T14:00:00+00:00,SL,1.3491359138429833,-13.130379780749287,9.98686962021925,19.986869620219252,2.0,-33.11724940096854,-2.974797500472792,9966.882750599032,3.0,
SLAB-V2_MR_RECOVERY-SPY-1784302200000,V2_MR_RECOVERY,Mean Reversion,SPY,SPY,strategy-lab-v1.0.0:V2_MR_RECOVERY,CLOSED,2026-07-17T15:30:00+00:00,1784302200000,746.0891904418945,741.6668990949358,751.6327545166016,FROZEN_MA20,13.403223271573188,10000.0,59.272958295233224,10.0,2.0,1.253550171116507,38.10797492103451,751.6327545166016,746.006132359823,744.2993063354493,2.9481942313058034,EXIT,2026-07-20T14:41:31.144159+00:00,2026-07-20T13:30:00+00:00,TIME,745.5308566772461,-7.483472107640631,9.99251652789236,19.99251652789236,2.0,-27.475988635532993,-0.4635501487656072,9972.524011364467,70.0,
SLAB-V2_MR_RECOVERY-SILVER_FUT-1784800800000,V2_MR_RECOVERY,Mean Reversion,SILVER_FUT,SI=F,strategy-lab-v1.0.0:V2_MR_RECOVERY,CLOSED,2026-07-23T10:00:00+00:00,1784800800000,59.0568071685791,58.408591738455634,59.898749923706056,FROZEN_MA20,154.26970009176299,9110.675930273776,100.0,9.110675930273777,2.0,1.2988625632786843,33.3332870102726,59.898749923706056,58.97725696898573,58.12973001480103,0.4321436200823103,EXIT,2026-07-23T13:05:25.132141+00:00,2026-07-23T12:00:00+00:00,SL,58.396910020107946,-101.80213518605431,9.008873795087723,18.1195497253615,2.0,-119.92168491141581,-1.1992168491141582,9880.078315088584,2.0,LONG
SLAB-V2_MR_RECOVERY-GOLD-1784829600000,V2_MR_RECOVERY,Mean Reversion,GOLD,XAU/USD,strategy-lab-v1.0.0:V2_MR_RECOVERY,CLOSED,2026-07-23T18:00:00+00:00,1784829600000,4095.125941416,4075.920358201714,4129.504328,FROZEN_MA20,2.441927340711341,10000.0,46.89863874527173,10.0,2.0,1.7900204435566351,25.611530711665367,4129.504328,4097.093736342929,4038.4195382499997,12.803722142857266,EXIT,2026-07-23T21:43:37.167667+00:00,2026-07-23T21:00:00+00:00,SL,4075.105174130074,-48.88925901752192,9.951110740982477,19.95111074098248,2.0,-68.84036975850441,-1.4678543258453278,9931.159630241496,3.0,LONG
SLAB-V2_MR_RECOVERY-BTC-1784815200000,V2_MR_RECOVERY,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:V2_MR_RECOVERY,CLOSED,2026-07-23T14:00:00+00:00,1784815200000,64872.131832,64425.841117714284,65639.872,FROZEN_MA20,0.15414939693822763,10000.0,68.79544446627378,10.0,2.0,1.720269195447561,23.649426714775473,65639.872,64939.0184073681,64836.03285,297.5271428571432,EXIT,2026-07-24T14:29:24.168936+00:00,2026-07-24T13:00:00+00:00,SL,64412.955949490744,-70.78168537738009,9.929218314622618,19.929218314622617,2.0,-90.7109036920027,-1.318559744700432,9909.289096307997,23.0,LONG
SLAB-V2_MR_RECOVERY-OIL_FUT-1785106800000,V2_MR_RECOVERY,Mean Reversion,OIL_FUT,CL=F,strategy-lab-v1.0.0:V2_MR_RECOVERY,CLOSED,2026-07-26T23:00:00+00:00,1785106800000,85.00699586334228,82.9219959614345,89.3569995880127,FROZEN_MA20,47.961632951876794,4077.0743339393316,100.0,4.077074333939332,2.0,2.086332819819394,28.192979796886164,89.3569995880127,85.83884620627593,83.69169998168945,1.3899999346051897,EXIT,2026-07-27T11:48:42.856304+00:00,2026-07-27T09:00:00+00:00,SL,82.90541156224222,-100.79541486678765,3.9762789190725436,8.053353253011876,2.0,-108.84876811979953,-1.0884876811979953,9891.1512318802,10.0,LONG
SLAB-V2_MR_RECOVERY-DXY-1785254400000,V2_MR_RECOVERY,Mean Reversion,DXY,DX-Y.NYB,strategy-lab-v1.0.0:V2_MR_RECOVERY,CLOSED,2026-07-28T16:00:00+00:00,1785254400000,101.33225885925293,101.21343730643136,101.49550018310546,FROZEN_MA20,98.68525692188172,10000.0,11.725935468053786,10.0,2.0,1.3738359748391966,38.85537669619569,101.49550018310546,101.33960481508721,101.11115001678466,0.07921436854771205,EXIT,2026-07-29T16:47:59.881525+00:00,2026-07-29T16:00:00+00:00,TIME,101.4587004776001,12.477923592209219,10.01247792359221,20.012477923592208,2.0,-7.534554331382989,-0.6425546475085231,9992.465445668617,24.0,LONG
