asset,candidate_id,entry_atr,entry_bb_lower,entry_fee,entry_ma20,entry_ma200,entry_price,entry_rsi,entry_slippage_bps,family,notional,open_close_time,opened_at,planned_reward_r,quantity,risk_dollars,side,status,stop_loss,strategy_version,symbol,target,target_mode,trade_id,event,timestamp,closed_at,exit_reason,exit_price,gross_pnl,exit_fee,fees,slippage_bps,net_pnl,r_multiple,equity_after,holding_hours
BNB,NEW_BNB_12H_MR,5.78285714285717,585.0534492954376,6.72697094861661,589.8064999999999,572.03675,583.51668,39.59317108608786,2.0,Mean Reversion,6726.97094861661,1785510000000,2026-07-31T15:00:00+00:00,0.7251110013175198,11.528326745718067,100.0,LONG,CLOSED,574.8423942857142,strategy-lab-v1.0.0:NEW_BNB_12H_MR,BNBUSDT,589.8064999999999,FROZEN_MA20,SLAB-NEW_BNB_12H_MR-BNB-1785510000000,EXIT,2026-08-01T04:32:19.631512+00:00,2026-08-01T02:00:00+00:00,TARGET,589.6885387,71.15120372200307,6.798122152338614,13.525093100955225,2.0,57.62611062104785,0.5762611062104785,10057.626110621048,11.0
BNB,NEW_BNB_12H_MR,2.5642857142857127,582.3731666048036,10.057626110621047,587.538,573.9594,580.776132,36.46669815777058,2.0,Mean Reversion,10057.626110621048,1785578400000,2026-08-01T10:00:00+00:00,1.7579601114206436,17.317561029903082,66.61076153287654,LONG,CLOSED,576.9297034285714,strategy-lab-v1.0.0:NEW_BNB_12H_MR,BNBUSDT,587.538,FROZEN_MA20,SLAB-NEW_BNB_12H_MR-BNB-1785578400000,EXIT,2026-08-01T16:31:33.527710+00:00,2026-08-01T16:00:00+00:00,SL,576.8143174878858,-68.60896460269315,9.989017146018353,20.0466432566394,2.0,-88.65560785933255,-1.3309502221435423,9968.970502761715,6.0
BNB,NEW_BNB_12H_MR,2.9950000000000045,593.420791324196,9.968970502761715,598.4064999999999,584.8293,591.5582880000001,36.38435244967727,2.0,Mean Reversion,9968.970502761715,1785967200000,2026-08-05T22:00:00+00:00,1.5243654980522987,16.852051108041806,75.70783960287697,LONG,CLOSED,587.0657880000001,strategy-lab-v1.0.0:NEW_BNB_12H_MR,BNBUSDT,598.4064999999999,FROZEN_MA20,SLAB-NEW_BNB_12H_MR-BNB-1785967200000,EXIT,2026-08-07T10:02:02.819333+00:00,2026-08-06T00:00:00+00:00,TARGET,598.2868186999999,113.3895432384258,10.08236004600014,20.051330548761854,2.0,93.33821268966395,1.232873810417343,10062.308715451378,2.0
BNB,NEW_BNB_12H_MR,1.9864285714285757,590.982986062076,10.062308715451378,593.53,587.17485,591.188214,33.97590361445786,2.0,Mean Reversion,10062.308715451378,1786039200000,2026-08-06T18:00:00+00:00,0.7859284190339119,17.02048260970808,50.71495943314052,LONG,CLOSED,588.2085711428572,strategy-lab-v1.0.0:NEW_BNB_12H_MR,BNBUSDT,593.53,FROZEN_MA20,SLAB-NEW_BNB_12H_MR-BNB-1786039200000,EXIT,2026-08-07T10:02:02.819333+00:00,2026-08-07T01:00:00+00:00,TARGET,593.411294,37.83789447998952,10.100146609931368,20.162455325382744,2.0,17.675439154606778,0.3485251561308846,10079.984154605985,7.0
BNB,NEW_BNB_12H_MR,1.7649999999999864,605.3357914960857,10.079984154605985,608.8729999999999,602.4698999999999,605.6211,30.17479300827972,2.0,Mean Reversion,10079.984154605985,1786701600000,2026-08-14T10:00:00+00:00,1.2282908404155137,16.64404386605088,44.06510613536842,LONG,CLOSED,602.9736,strategy-lab-v1.0.0:NEW_BNB_12H_MR,BNBUSDT,608.8729999999999,FROZEN_MA20,SLAB-NEW_BNB_12H_MR-BNB-1786701600000,EXIT,2026-08-14T13:39:05.286307+00:00,2026-08-14T13:00:00+00:00,SL,602.85300528,-46.072289945062295,10.033911864660922,20.113896019266907,2.0,-66.1861859643292,-1.502008999161482,10013.797968641657,3.0
BNB,NEW_BNB_12H_MR,1.91642857142855,603.5235985925258,10.013797968641656,608.4224999999999,602.6032,603.650706,22.249793217534815,2.0,Mean Reversion,10013.797968641657,1786712400000,2026-08-14T13:00:00+00:00,1.659960641073409,16.588728993620453,47.686671310588984,LONG,CLOSED,600.7760631428572,strategy-lab-v1.0.0:NEW_BNB_12H_MR,BNBUSDT,608.4224999999999,FROZEN_MA20,SLAB-NEW_BNB_12H_MR-BNB-1786712400000,EXIT,2026-08-15T03:21:59.447093+00:00,2026-08-15T03:00:00+00:00,TARGET,608.3008154999999,77.13940628615778,10.090937374927815,20.104735343569473,2.0,57.034670942588306,1.196029611106942,10070.832639584245,14.0
BNB,NEW_BNB_12H_MR,1.2949999999999915,608.4467607182542,10.070832639584244,610.269,605.54555,607.9415640000001,32.84313725490203,2.0,Mean Reversion,10070.832639584245,1786834800000,2026-08-15T23:00:00+00:00,1.198165250965213,16.565461610031065,32.17840917748527,LONG,CLOSED,605.9990640000001,strategy-lab-v1.0.0:NEW_BNB_12H_MR,BNBUSDT,610.269,FROZEN_MA20,SLAB-NEW_BNB_12H_MR-BNB-1786834800000,EXIT,2026-08-16T02:36:29.362781+00:00,2026-08-16T02:00:00+00:00,SL,605.8778641872001,-34.18614002356663,10.036646499560678,20.10747913914492,2.0,-54.29361916271155,-1.687268592528805,10016.539020421533,3.0
BNB,NEW_BNB_12H_MR,1.1971428571428402,605.9115122296719,10.016539020421533,609.356,605.83295,606.091194,33.8071065989851,2.0,Mean Reversion,10016.539020421533,1786849200000,2026-08-16T03:00:00+00:00,1.8181099443119406,16.526455291844304,29.676791859782046,LONG,CLOSED,604.2954797142858,strategy-lab-v1.0.0:NEW_BNB_12H_MR,BNBUSDT,609.356,FROZEN_MA20,SLAB-NEW_BNB_12H_MR-BNB-1786849200000,EXIT,2026-08-16T06:55:05.786372+00:00,2026-08-16T06:00:00+00:00,SL,604.1746206183429,-31.674164305493772,9.984864856116038,20.001403876537573,2.0,-51.67556818203134,-1.7412787886975751,9964.863452239502,3.0
BNB,NEW_BNB_12H_MR,3.663571428571434,706.3250216554648,9.964863452239502,710.481,691.0280500000001,705.721116,39.114238410595874,2.0,Mean Reversion,9964.863452239502,1787904000000,2026-08-28T08:00:00+00:00,0.8661646324819479,14.120115193264958,77.59507588527488,LONG,CLOSED,700.2257588571429,strategy-lab-v1.0.0:NEW_BNB_12H_MR,BNBUSDT,710.481,FROZEN_MA20,SLAB-NEW_BNB_12H_MR-BNB-1787904000000,EXIT,2026-08-28T18:36:40.497825+00:00,2026-08-28T14:00:00+00:00,SL,700.0857137053714,-79.57252956054617,9.885290922678957,19.85015437491846,2.0,-99.42268393546463,-1.2813014589026512,9865.440768304037,6.0
BNB,NEW_BNB_12H_MR,4.799285714285726,700.0285352414818,9.54320931962901,708.261,693.7427499999999,696.379248,22.55332496863207,2.0,Mean Reversion,9543.209319629012,1787929200000,2026-08-28T15:00:00+00:00,1.6504889418068085,13.704040358808928,98.65440768304038,LONG,CLOSED,689.1803194285714,strategy-lab-v1.0.0:NEW_BNB_12H_MR,BNBUSDT,708.261,FROZEN_MA20,SLAB-NEW_BNB_12H_MR-BNB-1787929200000,EXIT,2026-08-28T18:36:40.497825+00:00,2026-08-28T16:00:00+00:00,SL,689.0424833646856,-100.54331866542996,9.442666000963582,18.98587532059259,2.0,-119.52919398602256,-1.211595070035282,9745.911574318015,1.0
