trade_id,candidate_id,family,asset,symbol,strategy_version,status,opened_at,open_close_time,entry_price,stop_loss,target,target_mode,quantity,notional,risk_dollars,entry_fee,entry_slippage_bps,planned_reward_r,entry_rsi,entry_ma20,entry_bb_lower,entry_ma200,entry_atr,event,timestamp,closed_at,exit_reason,exit_price,gross_pnl,exit_fee,fees,slippage_bps,net_pnl,r_multiple,equity_after,holding_hours
SLAB-MR_RELAXED_PULLBACK_V1-BTC-1783810800,MR_RELAXED_PULLBACK_V1,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:MR_RELAXED_PULLBACK_V1,CLOSED,2026-07-11T23:00:00+00:00,1783810800,63785.794608,63482.92746514286,64169.4395,FROZEN_MA20,0.15677471859456624,10000.0,47.48191109296837,10.0,2.0,1.2667101765508004,36.37570230437253,64169.4395,63936.14256418738,63140.5021,201.91142857142873,EXIT,2026-07-14T09:00:59.543583+00:00,2026-07-12T03:00:00+00:00,TARGET,64156.6056121,58.13379081954662,10.058133790819548,20.058133790819547,2.0,38.07565702872707,0.801898157683163,10038.075657028727,0.004
SLAB-MR_RELAXED_PULLBACK_V1-BTC-1783836000,MR_RELAXED_PULLBACK_V1,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:MR_RELAXED_PULLBACK_V1,CLOSED,2026-07-12T06:00:00+00:00,1783836000,63727.49295,63394.03973571429,64104.808,FROZEN_MA20,0.15751562147446327,10038.075657028727,52.52409028087151,10.038075657028728,2.0,1.1315382003686487,38.513710337853084,64104.808,63743.06134419715,63196.9983,222.30214285714257,EXIT,2026-07-14T09:00:59.543583+00:00,2026-07-12T14:00:00+00:00,TARGET,64091.987038399995,57.4135128580932,10.095489169886818,20.133564826915546,2.0,37.27994803117765,0.709768562041225,10075.355605059904,0.008
SLAB-MR_RELAXED_PULLBACK_V1-BTC-1783904400,MR_RELAXED_PULLBACK_V1,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:MR_RELAXED_PULLBACK_V1,CLOSED,2026-07-13T01:00:00+00:00,1783904400,63381.44375399999,62974.46161114285,63947.02200000001,FROZEN_MA20,0.15896380720144213,10075.355605059904,64.69543089157297,10.075355605059903,2.0,1.3896881126760963,34.03468850322365,63947.02200000001,63562.0043088422,63327.101449999995,271.32142857142804,EXIT,2026-07-14T09:00:59.543583+00:00,2026-07-13T03:00:00+00:00,SL,62961.866718820624,-66.69756292640591,10.008658042133495,20.084013647193398,2.0,-86.78157657359931,-1.3413864839858918,9988.574028486304,0.002
SLAB-MR_RELAXED_PULLBACK_V1-ETH-1783911600,MR_RELAXED_PULLBACK_V1,Mean Reversion,ETH,ETHUSDT,strategy-lab-v1.0.0:MR_RELAXED_PULLBACK_V1,CLOSED,2026-07-13T03:00:00+00:00,1783911600,1779.515832,1756.9676177142858,1809.557,FROZEN_MA20,4.434940999445637,7892.047722499414,100.0,7.892047722499413,2.0,1.3323080763443413,37.975989495404285,1809.557,1788.1829436699559,1777.0018000000002,15.03214285714286,EXIT,2026-07-14T09:00:59.543583+00:00,2026-07-13T17:00:00+00:00,SL,1756.616224190743,-101.55840954449968,7.7904893129549135,15.682537035454327,2.0,-117.24094657995401,-1.17240946579954,9882.759053420046,0.014
SLAB-MR_RELAXED_PULLBACK_V1-BTC-1783836000000,MR_RELAXED_PULLBACK_V1,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:MR_RELAXED_PULLBACK_V1,CLOSED,2026-07-12T06:00:00+00:00,1783836000000,63727.49295,63394.03973571429,64104.808000000005,FROZEN_MA20,0.15673885110031313,9988.574028486304,52.26507370284923,9.988574028486305,2.0,1.1315382003686705,38.513710337853084,64104.808000000005,63743.06134419715,63196.9983,222.30214285714257,EXIT,2026-07-14T16:57:31.170205+00:00,2026-07-12T14:00:00+00:00,TARGET,64091.9870384,57.13038464867237,10.045704413134978,20.034278441621282,2.0,37.096106207051086,0.7097685620412469,10025.670134693355,8.0
SLAB-MR_RELAXED_PULLBACK_V1-BTC-1783904400000,MR_RELAXED_PULLBACK_V1,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:MR_RELAXED_PULLBACK_V1,CLOSED,2026-07-13T01:00:00+00:00,1783904400000,63381.44375399999,62974.46161114285,63947.022,FROZEN_MA20,0.15817989526407147,10025.670134693355,64.37639273149055,10.025670134693355,2.0,1.3896881126760605,34.03468850322365,63947.022,63562.00430884217,63327.101449999995,271.32142857142804,EXIT,2026-07-14T16:57:31.170205+00:00,2026-07-13T03:00:00+00:00,SL,62961.866718820624,-66.36865147988222,9.959301483213475,19.98497161790683,2.0,-86.35362309778904,-1.3413864839858918,9939.316511595565,2.0
SLAB-MR_RELAXED_PULLBACK_V1-ETH-1783911600000,MR_RELAXED_PULLBACK_V1,Mean Reversion,ETH,ETHUSDT,strategy-lab-v1.0.0:MR_RELAXED_PULLBACK_V1,CLOSED,2026-07-13T03:00:00+00:00,1783911600000,1779.515832,1756.9676177142858,1809.557,FROZEN_MA20,4.382945331365511,7799.520607955414,98.82759053420047,7.799520607955413,2.0,1.3323080763443413,37.975989495404285,1809.557,1788.1829436699559,1777.0018000000002,15.03214285714286,EXIT,2026-07-14T16:57:31.170205+00:00,2026-07-13T17:00:00+00:00,SL,1756.616224190743,-100.3677291376845,7.6991528788177295,15.498673486773143,2.0,-115.86640262445765,-1.17240946579954,9766.89265079559,14.0
SLAB-MR_RELAXED_PULLBACK_V1-BNB-1784102399999,MR_RELAXED_PULLBACK_V1,Mean Reversion,BNB,BNBUSDT,strategy-lab-v1.0.0:MR_RELAXED_PULLBACK_V1,CLOSED,2026-07-15T07:59:59.999000+00:00,1784102399999,576.605298,573.2367265714286,580.367,FROZEN_MA20,17.342886086350184,10000.0,58.42075055944745,10.0,2.0,1.1167054283291107,34.36376707404759,580.367,577.3893089481876,574.2579,2.2457142857142736,EXIT,2026-07-15T13:14:00.074864+00:00,2026-07-15T12:59:59.999000+00:00,TARGET,580.2509266,63.22572152294046,10.063225721522942,20.06322572152294,2.0,43.16249580141752,0.7388213158524295,10043.162495801418,5.0
SLAB-MR_RELAXED_PULLBACK_V1-BTC-1784185200000,MR_RELAXED_PULLBACK_V1,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:MR_RELAXED_PULLBACK_V1,CLOSED,2026-07-16T07:00:00+00:00,1784185200000,64410.239472,63997.29590057143,64845.88550000001,FROZEN_MA20,0.1543126775039599,9939.316511595565,63.72242816519065,9.939316511595566,2.0,1.0549771400796952,33.28436955002836,64845.88550000001,64338.88389331808,63565.09385,275.2957142857153,EXIT,2026-07-16T17:48:25.930226+00:00,2026-07-16T08:00:00+00:00,SL,63984.49644139132,-65.69754698187617,9.87361896461369,19.812935476209255,2.0,-85.51048245808542,-1.3419212814115082,9853.80602913748,1.0
SLAB-MR_RELAXED_PULLBACK_V1-BTC-1784188800000,MR_RELAXED_PULLBACK_V1,Mean Reversion,BTC,BTCUSDT,strategy-lab-v1.0.0:MR_RELAXED_PULLBACK_V1,CLOSED,2026-07-16T08:00:00+00:00,1784188800000,64080.683574,63611.23178828572,64782.722499999996,FROZEN_MA20,0.15377186196458661,9853.80602913748,72.1884751918858,9.85380602913748,2.0,1.4954441486079764,30.88783376729468,64782.722499999996,64151.06098672401,63566.45085,312.9678571428579,EXIT,2026-07-16T17:48:25.930226+00:00,2026-07-16T14:00:00+00:00,TARGET,64769.7659555,105.9614808502461,9.959767509987726,19.81357353912521,2.0,86.14790731112089,1.1933748023092219,9939.9539364486,6.0
